file,distribuzione,parametro1,parametro2,lunghezza
uniforme_0.0_100.0_10000.csv,uniforme,0.0,100.0,10000
esponenziale_1.0_10000_10hat3.csv,esponenziale,1.0,3,10000
poisson_1.0_10000.csv,poisson,1.0,,10000
uniforme_0.0_200.0_100000.csv,uniforme,0.0,200.0,100000
esponenziale_1.0_100000_10hat3.csv,esponenziale,1.0,3,100000
poisson_1.0_100000.csv,poisson,1.0,,100000
uniforme_0.0_200.0_1000000.csv,uniforme,0.0,200.0,1000000
esponenziale_1.0_1000000_10hat3.csv,esponenziale,1.0,3,1000000
poisson_1.0_1000000.csv,poisson,1.0,,1000000
uniforme_0.0_200.0_5000000.csv,uniforme,0.0,200.0,5000000
esponenziale_1.0_5000000_10hat3.csv,esponenziale,1.0,3,5000000
poisson_1.0_5000000.csv,poisson,1.0,,5000000
