momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,esponenziale,ams,4096,0.000815,33,1800,kbytes
f0,esponenziale,ams,4096,0.000821,28,1856,kbytes
f0,esponenziale,ams,4096,0.000671,16,1832,kbytes
f0,esponenziale,ams,4096,0.000684,14,1836,kbytes
f0,esponenziale,ams,4096,0.000688,16,1832,kbytes
f0,esponenziale,ams,4096,0.000717,14,1848,kbytes
f0,esponenziale,ams,4096,0.000666,16,1856,kbytes
f0,esponenziale,ams,4096,0.000833,28,1800,kbytes
f0,esponenziale,ams,4096,0.000724,20,1852,kbytes
f0,esponenziale,ams,4096,0.000837,33,1924,kbytes
f0,esponenziale,ams,4096,0.000770,28,1932,kbytes
f0,esponenziale,ams,4096,0.000659,28,1796,kbytes
f0,esponenziale,ams,4096,0.000634,28,1844,kbytes
f0,esponenziale,ams,4096,0.000655,16,1808,kbytes
f0,esponenziale,ams,4096,0.000732,33,1828,kbytes
f0,esponenziale,ams,4096,0.000681,16,1844,kbytes
f0,esponenziale,ams,4096,0.000694,33,1860,kbytes
f0,esponenziale,ams,4096,0.000701,28,1836,kbytes
f0,esponenziale,ams,4096,0.000704,28,1956,kbytes
f0,esponenziale,ams,4096,0.000709,16,1856,kbytes
f0,esponenziale,ams,4096,0.000815,28,1860,kbytes
f0,esponenziale,ams,4096,0.000714,28,1844,kbytes
f0,esponenziale,ams,4096,0.000930,28,1828,kbytes
f0,esponenziale,ams,4096,0.000704,14,1796,kbytes
f0,esponenziale,ams,4096,0.000737,33,1836,kbytes
f0,esponenziale,ams,4096,0.000755,28,1828,kbytes
f0,esponenziale,ams,4096,0.000828,33,1856,kbytes
f0,esponenziale,ams,4096,0.000901,28,1768,kbytes
f0,esponenziale,ams,4096,0.000894,28,1952,kbytes
f0,esponenziale,ams,4096,0.000768,28,1924,kbytes
f0,esponenziale,ams,4096,0.000770,33,1828,kbytes
f0,esponenziale,ams,4096,0.000904,33,1792,kbytes
f0,esponenziale,ams,4096,0.000977,28,1800,kbytes
f0,esponenziale,ams,4096,0.000720,28,1864,kbytes
f0,esponenziale,ams,4096,0.000783,28,1804,kbytes
f0,esponenziale,ams,4096,0.000713,28,1828,kbytes
f0,esponenziale,ams,4096,0.000799,28,1928,kbytes
f0,esponenziale,ams,4096,0.000763,33,1928,kbytes
f0,esponenziale,ams,4096,0.000744,25,1924,kbytes
f0,esponenziale,ams,4096,0.000795,28,1860,kbytes
f0,esponenziale,ams,4096,0.000783,28,1836,kbytes
f0,esponenziale,ams,4096,0.000986,28,1784,kbytes
f0,esponenziale,ams,4096,0.000670,28,1856,kbytes
f0,esponenziale,ams,4096,0.000693,28,1764,kbytes
f0,esponenziale,ams,4096,0.000805,28,1828,kbytes
f0,esponenziale,ams,4096,0.000739,28,1844,kbytes
f0,esponenziale,ams,4096,0.000744,28,1768,kbytes
f0,esponenziale,ams,4096,0.000769,33,1848,kbytes
f0,esponenziale,ams,4096,0.000686,16,1928,kbytes
f0,esponenziale,ams,4096,0.000908,28,1800,kbytes
f0,esponenziale,ams,4096,0.000930,28,1828,kbytes
f0,esponenziale,ams,4096,0.000727,33,1832,kbytes
f0,esponenziale,ams,4096,0.000833,28,1940,kbytes
f0,esponenziale,ams,4096,0.000826,25,1784,kbytes
f0,esponenziale,ams,4096,0.000704,28,1832,kbytes
f0,esponenziale,ams,4096,0.000762,28,1792,kbytes
f0,esponenziale,ams,4096,0.000693,33,1828,kbytes
f0,esponenziale,ams,4096,0.000731,28,1764,kbytes
f0,esponenziale,ams,4096,0.000791,28,1768,kbytes
f0,esponenziale,ams,4096,0.000760,28,1764,kbytes
f0,esponenziale,ams,4096,0.000764,28,1852,kbytes
f0,esponenziale,ams,4096,0.000724,28,1924,kbytes
f0,esponenziale,ams,4096,0.000807,28,1800,kbytes
f0,esponenziale,ams,4096,0.000656,33,1784,kbytes
f0,esponenziale,ams,4096,0.000868,28,1940,kbytes
f0,esponenziale,ams,4096,0.000766,28,1940,kbytes
f0,esponenziale,ams,4096,0.000802,28,1800,kbytes
f0,esponenziale,ams,4096,0.000716,33,1832,kbytes
f0,esponenziale,ams,4096,0.000700,20,1928,kbytes
f0,esponenziale,ams,4096,0.000700,28,1756,kbytes
f0,esponenziale,ams,4096,0.000714,28,1788,kbytes
f0,esponenziale,ams,4096,0.000735,28,1940,kbytes
f0,esponenziale,ams,4096,0.000707,28,1792,kbytes
f0,esponenziale,ams,4096,0.000717,28,1924,kbytes
f0,esponenziale,ams,4096,0.000827,28,1828,kbytes
f0,esponenziale,ams,4096,0.000706,28,1844,kbytes
f0,esponenziale,ams,4096,0.000904,28,1852,kbytes
f0,esponenziale,ams,4096,0.000769,28,1760,kbytes
f0,esponenziale,ams,4096,0.001072,28,1856,kbytes
f0,esponenziale,ams,4096,0.000716,28,1784,kbytes
f0,esponenziale,ams,4096,0.000731,28,1928,kbytes
f0,esponenziale,ams,4096,0.000780,28,1760,kbytes
f0,esponenziale,ams,4096,0.001014,28,1844,kbytes
f0,esponenziale,ams,4096,0.000767,28,1828,kbytes
f0,esponenziale,ams,4096,0.000805,28,1844,kbytes
f0,esponenziale,ams,4096,0.000804,28,1772,kbytes
f0,esponenziale,ams,4096,0.000759,28,1760,kbytes
f0,esponenziale,ams,4096,0.000681,14,1764,kbytes
f0,esponenziale,ams,4096,0.000741,28,1772,kbytes
