momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,uniforme,ams,128,0.000554,4,1764,kbytes
f0,uniforme,ams,128,0.000615,28,1808,kbytes
f0,uniforme,ams,128,0.000542,28,1828,kbytes
f0,uniforme,ams,128,0.000628,28,1832,kbytes
f0,uniforme,ams,128,0.000642,33,1808,kbytes
f0,uniforme,ams,128,0.000635,16,1844,kbytes
f0,uniforme,ams,128,0.000761,33,1828,kbytes
f0,uniforme,ams,128,0.000666,28,1848,kbytes
f0,uniforme,ams,128,0.000713,33,1844,kbytes
f0,uniforme,ams,128,0.000608,33,1812,kbytes
f0,uniforme,ams,128,0.000600,16,1940,kbytes
f0,uniforme,ams,128,0.000550,14,1756,kbytes
f0,uniforme,ams,128,0.000631,16,1936,kbytes
f0,uniforme,ams,128,0.000565,16,1856,kbytes
f0,uniforme,ams,128,0.000530,16,1928,kbytes
f0,uniforme,ams,128,0.000678,28,1952,kbytes
f0,uniforme,ams,128,0.000555,16,1800,kbytes
f0,uniforme,ams,128,0.000632,33,1844,kbytes
f0,uniforme,ams,128,0.000690,28,1792,kbytes
f0,uniforme,ams,128,0.000556,16,1852,kbytes
f0,uniforme,ams,128,0.000709,28,1808,kbytes
f0,uniforme,ams,128,0.000640,20,1776,kbytes
f0,uniforme,ams,128,0.000636,28,1800,kbytes
f0,uniforme,ams,128,0.000555,16,1832,kbytes
f0,uniforme,ams,128,0.000617,16,1924,kbytes
f0,uniforme,ams,128,0.000598,16,1812,kbytes
f0,uniforme,ams,128,0.000604,33,1856,kbytes
f0,uniforme,ams,128,0.000679,28,1760,kbytes
f0,uniforme,ams,128,0.000627,28,1756,kbytes
f0,uniforme,ams,128,0.000759,33,1760,kbytes
f0,uniforme,ams,128,0.000556,16,1812,kbytes
f0,uniforme,ams,128,0.000581,16,1768,kbytes
f0,uniforme,ams,128,0.000839,28,1828,kbytes
f0,uniforme,ams,128,0.001035,28,1756,kbytes
f0,uniforme,ams,128,0.000658,16,1828,kbytes
f0,uniforme,ams,128,0.000573,16,1836,kbytes
f0,uniforme,ams,128,0.000665,28,1828,kbytes
f0,uniforme,ams,128,0.000603,16,1864,kbytes
f0,uniforme,ams,128,0.000672,33,1956,kbytes
f0,uniforme,ams,128,0.000557,20,1952,kbytes
f0,uniforme,ams,128,0.000578,20,1812,kbytes
f0,uniforme,ams,128,0.000613,16,1764,kbytes
f0,uniforme,ams,128,0.000662,16,1848,kbytes
f0,uniforme,ams,128,0.000646,33,1832,kbytes
f0,uniforme,ams,128,0.000715,20,1804,kbytes
f0,uniforme,ams,128,0.000654,33,1764,kbytes
f0,uniforme,ams,128,0.000626,33,1844,kbytes
f0,uniforme,ams,128,0.000597,16,1756,kbytes
f0,uniforme,ams,128,0.000634,16,1940,kbytes
f0,uniforme,ams,128,0.000627,40,1796,kbytes
f0,uniforme,ams,128,0.000631,16,1852,kbytes
f0,uniforme,ams,128,0.000618,16,1796,kbytes
f0,uniforme,ams,128,0.000622,16,1756,kbytes
f0,uniforme,ams,128,0.000551,16,1800,kbytes
f0,uniforme,ams,128,0.000643,14,1952,kbytes
f0,uniforme,ams,128,0.000669,28,1800,kbytes
f0,uniforme,ams,128,0.000565,16,1848,kbytes
f0,uniforme,ams,128,0.000728,33,1860,kbytes
f0,uniforme,ams,128,0.000606,16,1764,kbytes
f0,uniforme,ams,128,0.000672,28,1848,kbytes
f0,uniforme,ams,128,0.000567,16,1832,kbytes
f0,uniforme,ams,128,0.000595,16,1760,kbytes
f0,uniforme,ams,128,0.000669,33,1808,kbytes
f0,uniforme,ams,128,0.000610,16,1788,kbytes
f0,uniforme,ams,128,0.000688,33,1792,kbytes
f0,uniforme,ams,128,0.000592,16,1936,kbytes
f0,uniforme,ams,128,0.000632,16,1828,kbytes
f0,uniforme,ams,128,0.000562,16,1924,kbytes
f0,uniforme,ams,128,0.000596,16,1760,kbytes
f0,uniforme,ams,128,0.000611,16,1928,kbytes
f0,uniforme,ams,128,0.000548,16,1784,kbytes
f0,uniforme,ams,128,0.000646,33,1936,kbytes
f0,uniforme,ams,128,0.000596,20,1940,kbytes
f0,uniforme,ams,128,0.000641,33,1784,kbytes
f0,uniforme,ams,128,0.000599,16,1756,kbytes
f0,uniforme,ams,128,0.000549,16,1764,kbytes
f0,uniforme,ams,128,0.000601,33,1840,kbytes
f0,uniforme,ams,128,0.000721,28,1808,kbytes
f0,uniforme,ams,128,0.000604,33,1756,kbytes
f0,uniforme,ams,128,0.000584,16,1812,kbytes
f0,uniforme,ams,128,0.000579,20,1800,kbytes
f0,uniforme,ams,128,0.000866,33,1860,kbytes
f0,uniforme,ams,128,0.000641,16,1800,kbytes
f0,uniforme,ams,128,0.000592,28,1812,kbytes
f0,uniforme,ams,128,0.000574,16,1852,kbytes
f0,uniforme,ams,128,0.000819,25,1924,kbytes
f0,uniforme,ams,128,0.000780,25,1808,kbytes
f0,uniforme,ams,128,0.000646,33,1796,kbytes
f0,uniforme,ams,128,0.000591,28,1808,kbytes
f0,uniforme,ams,128,0.000549,20,1756,kbytes
f0,uniforme,ams,128,0.000595,20,1796,kbytes
f0,uniforme,ams,128,0.000582,20,1956,kbytes
f0,uniforme,ams,128,0.000564,20,1800,kbytes
f0,uniforme,ams,128,0.000576,20,1936,kbytes
f0,uniforme,ams,128,0.000529,16,1844,kbytes
f0,uniforme,ams,128,0.000650,28,1792,kbytes
f0,uniforme,ams,128,0.000672,28,1844,kbytes
f0,uniforme,ams,128,0.000630,28,1764,kbytes
f0,uniforme,ams,128,0.000746,28,1844,kbytes
f0,uniforme,ams,128,0.000729,28,1828,kbytes
