algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
ams,256,0.316955,52%,1808,kbytes
ams,256,0.330858,53%,1768,kbytes
ams,256,0.314019,52%,1932,kbytes
ams,256,0.319377,56%,1844,kbytes
ams,256,0.335266,54%,1852,kbytes
ams,256,0.317928,53%,1852,kbytes
ams,256,0.325564,54%,1788,kbytes
ams,256,0.331412,54%,1852,kbytes
ams,256,0.320145,54%,1852,kbytes
ams,256,0.315036,55%,1856,kbytes
ams,256,0.309720,51%,1812,kbytes
ams,256,0.334450,53%,1788,kbytes
ams,256,0.315092,53%,1844,kbytes
ams,256,0.324361,55%,1856,kbytes
ams,256,0.326035,56%,1792,kbytes
ams,256,0.345072,55%,1796,kbytes
ams,256,0.313944,56%,1940,kbytes
ams,256,0.322515,52%,1932,kbytes
ams,256,0.335888,55%,1804,kbytes
ams,256,0.318190,53%,1940,kbytes
ams,256,0.303366,58%,1828,kbytes
ams,256,0.315730,53%,1844,kbytes
ams,256,0.312152,52%,1768,kbytes
ams,256,0.319713,53%,1832,kbytes
ams,256,0.301378,53%,1924,kbytes
ams,256,0.297983,58%,1932,kbytes
ams,256,0.330689,52%,1940,kbytes
ams,256,0.341611,50%,1864,kbytes
ams,256,0.340093,49%,1764,kbytes
ams,256,0.328456,51%,1860,kbytes
ams,256,0.310919,58%,1792,kbytes
ams,256,0.319109,53%,1800,kbytes
ams,256,0.322137,55%,1844,kbytes
ams,256,0.314174,52%,1952,kbytes
ams,256,0.332755,54%,1808,kbytes
ams,256,0.316523,50%,1844,kbytes
ams,256,0.337728,54%,1840,kbytes
ams,256,0.324914,53%,1928,kbytes
ams,256,0.311891,53%,1936,kbytes
ams,256,0.319108,52%,1768,kbytes
ams,256,0.341148,54%,1764,kbytes
ams,256,0.319022,53%,1936,kbytes
ams,256,0.323308,52%,1860,kbytes
ams,256,0.318860,59%,1956,kbytes
ams,256,0.326938,53%,1764,kbytes
ams,256,0.319235,52%,1936,kbytes
ams,256,0.313650,58%,1792,kbytes
ams,256,0.328781,48%,1800,kbytes
ams,256,0.335691,49%,1812,kbytes
ams,256,0.326040,51%,1952,kbytes
ams,256,0.321059,53%,1840,kbytes
ams,256,0.327841,49%,1940,kbytes
ams,256,0.330272,52%,1936,kbytes
ams,256,0.327265,48%,1828,kbytes
ams,256,0.319607,49%,1792,kbytes
ams,256,0.326457,49%,1768,kbytes
ams,256,0.323326,49%,1828,kbytes
ams,256,0.330654,56%,1860,kbytes
ams,256,0.327464,50%,1864,kbytes
ams,256,0.317934,50%,1832,kbytes
ams,256,0.325265,49%,1924,kbytes
ams,256,0.327292,50%,1832,kbytes
ams,256,0.325869,50%,1772,kbytes
ams,256,0.324799,51%,1856,kbytes
ams,256,0.326681,52%,1792,kbytes
ams,256,0.323200,52%,1928,kbytes
ams,256,0.315373,54%,1828,kbytes
ams,256,0.303051,54%,1756,kbytes
ams,256,0.323798,52%,1956,kbytes
ams,256,0.311264,55%,1760,kbytes
ams,256,0.319283,51%,1812,kbytes
ams,256,0.317820,52%,1812,kbytes
ams,256,0.326632,53%,1808,kbytes
ams,256,0.326884,53%,1788,kbytes
ams,256,0.316912,51%,1800,kbytes
ams,256,0.303667,50%,1860,kbytes
ams,256,0.316807,51%,1860,kbytes
ams,256,0.327619,53%,1936,kbytes
ams,256,0.335548,53%,1956,kbytes
ams,256,0.328607,52%,1796,kbytes
ams,256,0.322110,52%,1768,kbytes
ams,256,0.338183,54%,1956,kbytes
ams,256,0.302710,57%,1840,kbytes
ams,256,0.327390,53%,1832,kbytes
ams,256,0.314070,53%,1832,kbytes
ams,256,0.311581,52%,1796,kbytes
ams,256,0.336600,54%,1848,kbytes
ams,256,0.313098,54%,1804,kbytes
ams,256,0.327986,52%,1956,kbytes
ams,256,0.309698,51%,1936,kbytes
ams,256,0.308444,58%,1792,kbytes
ams,256,0.316668,57%,1792,kbytes
ams,256,0.316281,55%,1856,kbytes
ams,256,0.316501,52%,1828,kbytes
ams,256,0.322077,53%,1932,kbytes
ams,256,0.313561,56%,1768,kbytes
ams,256,0.320085,53%,1936,kbytes
ams,256,0.341552,55%,1756,kbytes
ams,256,0.329613,53%,1760,kbytes
ams,256,0.323687,55%,1836,kbytes
