algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
ams,157,0.000729,28%,1852,kbytes
ams,157,0.001108,30%,1800,kbytes
ams,157,0.000670,16%,1756,kbytes
ams,157,0.000683,33%,1956,kbytes
ams,157,0.000834,33%,1784,kbytes
ams,157,0.000702,33%,1828,kbytes
ams,157,0.000672,28%,1808,kbytes
ams,157,0.000690,33%,1928,kbytes
ams,157,0.000709,28%,1940,kbytes
ams,157,0.000653,33%,1796,kbytes
ams,157,0.000787,33%,1864,kbytes
ams,157,0.000790,33%,1844,kbytes
ams,157,0.000768,33%,1856,kbytes
ams,157,0.000744,33%,1848,kbytes
ams,157,0.000741,33%,1792,kbytes
ams,157,0.000708,33%,1828,kbytes
ams,157,0.000723,33%,1840,kbytes
ams,157,0.000722,33%,1768,kbytes
ams,157,0.000762,33%,1800,kbytes
ams,157,0.000691,40%,1856,kbytes
ams,157,0.000681,28%,1828,kbytes
ams,157,0.000789,28%,1844,kbytes
ams,157,0.000650,33%,1836,kbytes
ams,157,0.000719,28%,1864,kbytes
ams,157,0.000763,28%,1856,kbytes
ams,157,0.000684,33%,1844,kbytes
ams,157,0.000707,33%,1852,kbytes
ams,157,0.000695,33%,1852,kbytes
ams,157,0.000743,33%,1832,kbytes
ams,157,0.000700,33%,1784,kbytes
ams,157,0.000705,33%,1924,kbytes
ams,157,0.000670,16%,1808,kbytes
ams,157,0.000746,33%,1936,kbytes
ams,157,0.000732,28%,1768,kbytes
ams,157,0.000717,33%,1796,kbytes
ams,157,0.000677,40%,1844,kbytes
ams,157,0.000743,28%,1956,kbytes
ams,157,0.000716,33%,1828,kbytes
ams,157,0.000739,28%,1928,kbytes
ams,157,0.000778,33%,1796,kbytes
ams,157,0.000659,16%,1924,kbytes
ams,157,0.000757,28%,1804,kbytes
ams,157,0.000639,33%,1844,kbytes
ams,157,0.000742,33%,1792,kbytes
ams,157,0.000687,33%,1936,kbytes
ams,157,0.000755,28%,1756,kbytes
ams,157,0.000791,33%,1956,kbytes
ams,157,0.000684,16%,1924,kbytes
ams,157,0.000695,33%,1796,kbytes
ams,157,0.000753,33%,1792,kbytes
ams,157,0.000741,33%,1936,kbytes
ams,157,0.000668,33%,1812,kbytes
ams,157,0.000757,28%,1800,kbytes
ams,157,0.000717,33%,1940,kbytes
ams,157,0.000896,28%,1936,kbytes
ams,157,0.000764,28%,1760,kbytes
ams,157,0.000742,28%,1860,kbytes
ams,157,0.000746,33%,1864,kbytes
ams,157,0.000961,25%,1800,kbytes
ams,157,0.000755,28%,1844,kbytes
ams,157,0.000815,33%,1764,kbytes
ams,157,0.000769,33%,1860,kbytes
ams,157,0.000710,28%,1940,kbytes
ams,157,0.000769,28%,1952,kbytes
ams,157,0.000666,33%,1760,kbytes
ams,157,0.000709,33%,1856,kbytes
ams,157,0.000687,28%,1760,kbytes
ams,157,0.000668,16%,1764,kbytes
ams,157,0.000730,28%,1856,kbytes
ams,157,0.000706,33%,1924,kbytes
ams,157,0.000696,28%,1956,kbytes
ams,157,0.000785,33%,1800,kbytes
ams,157,0.000679,20%,1932,kbytes
ams,157,0.000712,33%,1924,kbytes
ams,157,0.000681,20%,1864,kbytes
ams,157,0.000659,33%,1764,kbytes
ams,157,0.000678,33%,1768,kbytes
ams,157,0.000703,16%,1756,kbytes
ams,157,0.000653,33%,1940,kbytes
ams,157,0.000686,40%,1764,kbytes
ams,157,0.000660,16%,1860,kbytes
ams,157,0.000738,33%,1800,kbytes
ams,157,0.000792,28%,1940,kbytes
ams,157,0.000662,33%,1800,kbytes
ams,157,0.000654,16%,1852,kbytes
ams,157,0.000686,33%,1764,kbytes
ams,157,0.000754,28%,1852,kbytes
ams,157,0.000754,33%,1860,kbytes
ams,157,0.000782,28%,1956,kbytes
ams,157,0.000718,33%,1844,kbytes
ams,157,0.000761,33%,1924,kbytes
ams,157,0.000763,33%,1804,kbytes
ams,157,0.000662,16%,1804,kbytes
ams,157,0.000794,33%,1784,kbytes
ams,157,0.000707,33%,1788,kbytes
ams,157,0.000787,33%,1860,kbytes
ams,157,0.000731,33%,1844,kbytes
ams,157,0.000749,33%,1784,kbytes
ams,157,0.000709,33%,1756,kbytes
ams,157,0.000691,33%,1788,kbytes
