algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
ams,453,0.005887,46%,1924,kbytes
ams,453,0.005937,46%,1952,kbytes
ams,453,0.005608,46%,1804,kbytes
ams,453,0.005724,50%,1800,kbytes
ams,453,0.005338,42%,1936,kbytes
ams,453,0.005477,42%,1952,kbytes
ams,453,0.005473,46%,1924,kbytes
ams,453,0.005387,42%,1792,kbytes
ams,453,0.005491,53%,1784,kbytes
ams,453,0.005329,42%,1924,kbytes
ams,453,0.005413,46%,1848,kbytes
ams,453,0.005609,50%,1852,kbytes
ams,453,0.005219,54%,1792,kbytes
ams,453,0.005450,42%,1764,kbytes
ams,453,0.005713,50%,1956,kbytes
ams,453,0.005323,42%,1924,kbytes
ams,453,0.005444,50%,1764,kbytes
ams,453,0.005780,40%,1936,kbytes
ams,453,0.005387,42%,1924,kbytes
ams,453,0.005549,42%,1828,kbytes
ams,453,0.005714,50%,1936,kbytes
ams,453,0.005823,43%,1792,kbytes
ams,453,0.005871,46%,1936,kbytes
ams,453,0.005411,42%,1860,kbytes
ams,453,0.005554,50%,1856,kbytes
ams,453,0.005472,46%,1936,kbytes
ams,453,0.005551,42%,1828,kbytes
ams,453,0.005749,50%,1764,kbytes
ams,453,0.005650,40%,1764,kbytes
ams,453,0.005700,50%,1924,kbytes
ams,453,0.005804,46%,1860,kbytes
ams,453,0.006202,40%,1808,kbytes
ams,453,0.005396,40%,1788,kbytes
ams,453,0.005955,46%,1812,kbytes
ams,453,0.005252,50%,1760,kbytes
ams,453,0.006018,46%,1836,kbytes
ams,453,0.005691,50%,1936,kbytes
ams,453,0.005372,42%,1812,kbytes
ams,453,0.005576,46%,1808,kbytes
ams,453,0.005674,50%,1860,kbytes
ams,453,0.005206,42%,1836,kbytes
ams,453,0.005615,46%,1832,kbytes
ams,453,0.005261,42%,1764,kbytes
ams,453,0.005321,42%,1804,kbytes
ams,453,0.005715,50%,1756,kbytes
ams,453,0.005454,42%,1852,kbytes
ams,453,0.006664,53%,1856,kbytes
ams,453,0.005309,42%,1856,kbytes
ams,453,0.005481,42%,1848,kbytes
ams,453,0.005421,42%,1940,kbytes
ams,453,0.005747,53%,1840,kbytes
ams,453,0.005978,46%,1940,kbytes
ams,453,0.005620,50%,1956,kbytes
ams,453,0.005359,50%,1800,kbytes
ams,453,0.005622,53%,1936,kbytes
ams,453,0.005207,42%,1956,kbytes
ams,453,0.005380,50%,1836,kbytes
ams,453,0.005715,46%,1924,kbytes
ams,453,0.005367,42%,1812,kbytes
ams,453,0.005326,42%,1932,kbytes
ams,453,0.005586,50%,1832,kbytes
ams,453,0.005520,50%,1760,kbytes
ams,453,0.005632,42%,1760,kbytes
ams,453,0.006185,46%,1828,kbytes
ams,453,0.005315,42%,1756,kbytes
ams,453,0.006010,46%,1844,kbytes
ams,453,0.005771,46%,1784,kbytes
ams,453,0.005746,50%,1856,kbytes
ams,453,0.005529,42%,1836,kbytes
ams,453,0.005431,42%,1784,kbytes
ams,453,0.005462,42%,1800,kbytes
ams,453,0.005799,46%,1860,kbytes
ams,453,0.005262,42%,1836,kbytes
ams,453,0.006001,43%,1924,kbytes
ams,453,0.005215,42%,1844,kbytes
ams,453,0.005902,40%,1792,kbytes
ams,453,0.005276,50%,1756,kbytes
ams,453,0.005163,42%,1844,kbytes
ams,453,0.005571,42%,1828,kbytes
ams,453,0.005433,42%,1800,kbytes
ams,453,0.005243,42%,1952,kbytes
ams,453,0.005627,50%,1832,kbytes
ams,453,0.005223,50%,1924,kbytes
ams,453,0.005482,42%,1808,kbytes
ams,453,0.005407,50%,1844,kbytes
ams,453,0.005262,42%,1756,kbytes
ams,453,0.005448,50%,1860,kbytes
ams,453,0.005481,42%,1832,kbytes
ams,453,0.005444,42%,1836,kbytes
ams,453,0.006488,50%,1788,kbytes
ams,453,0.005248,46%,1936,kbytes
ams,453,0.005440,42%,1828,kbytes
ams,453,0.005261,42%,1956,kbytes
ams,453,0.005437,46%,1800,kbytes
ams,453,0.005376,50%,1936,kbytes
ams,453,0.005499,50%,1808,kbytes
ams,453,0.005499,40%,1756,kbytes
ams,453,0.005208,42%,1812,kbytes
ams,453,0.005846,46%,1924,kbytes
ams,453,0.005385,42%,1800,kbytes
