algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,5000000,0.280589,44%,1936,kbytes
naive,5000000,0.284393,46%,1760,kbytes
naive,5000000,0.278115,52%,1852,kbytes
naive,5000000,0.271524,44%,1852,kbytes
naive,5000000,0.274555,44%,1924,kbytes
naive,5000000,0.291073,46%,1800,kbytes
naive,5000000,0.278299,46%,1756,kbytes
naive,5000000,0.285806,45%,1784,kbytes
naive,5000000,0.280932,45%,1808,kbytes
naive,5000000,0.280935,45%,1924,kbytes
naive,5000000,0.272435,47%,1852,kbytes
naive,5000000,0.275841,44%,1844,kbytes
naive,5000000,0.268026,44%,1804,kbytes
naive,5000000,0.271513,43%,1936,kbytes
naive,5000000,0.271274,44%,1932,kbytes
naive,5000000,0.273542,51%,1808,kbytes
naive,5000000,0.273793,44%,1812,kbytes
naive,5000000,0.283431,46%,1936,kbytes
naive,5000000,0.291192,45%,1768,kbytes
naive,5000000,0.269486,44%,1784,kbytes
naive,5000000,0.277737,47%,1860,kbytes
naive,5000000,0.276509,44%,1808,kbytes
naive,5000000,0.275549,44%,1764,kbytes
naive,5000000,0.278418,44%,1924,kbytes
naive,5000000,0.273654,44%,1936,kbytes
naive,5000000,0.270186,44%,1940,kbytes
naive,5000000,0.273780,44%,1936,kbytes
naive,5000000,0.275541,46%,1840,kbytes
naive,5000000,0.272403,45%,1952,kbytes
naive,5000000,0.289938,45%,1952,kbytes
naive,5000000,0.278866,45%,1760,kbytes
naive,5000000,0.266857,50%,1756,kbytes
naive,5000000,0.284242,44%,1760,kbytes
naive,5000000,0.275571,44%,1936,kbytes
naive,5000000,0.273977,44%,1764,kbytes
naive,5000000,0.282592,45%,1864,kbytes
naive,5000000,0.272149,43%,1768,kbytes
naive,5000000,0.254622,45%,1844,kbytes
naive,5000000,0.285680,44%,1860,kbytes
naive,5000000,0.266733,43%,1940,kbytes
naive,5000000,0.267812,43%,1928,kbytes
naive,5000000,0.269131,49%,1764,kbytes
naive,5000000,0.266399,50%,1848,kbytes
naive,5000000,0.273099,49%,1844,kbytes
naive,5000000,0.286540,43%,1932,kbytes
naive,5000000,0.256270,48%,1856,kbytes
naive,5000000,0.262082,44%,1832,kbytes
naive,5000000,0.278498,44%,1764,kbytes
naive,5000000,0.275790,44%,1940,kbytes
naive,5000000,0.274860,44%,1828,kbytes
naive,5000000,0.270666,44%,1828,kbytes
naive,5000000,0.268470,50%,1852,kbytes
naive,5000000,0.274789,43%,1864,kbytes
naive,5000000,0.281192,44%,1828,kbytes
naive,5000000,0.283163,47%,1860,kbytes
naive,5000000,0.288101,46%,1796,kbytes
naive,5000000,0.279654,44%,1812,kbytes
naive,5000000,0.274413,44%,1792,kbytes
naive,5000000,0.284893,43%,1844,kbytes
naive,5000000,0.272889,45%,1940,kbytes
naive,5000000,0.275584,44%,1956,kbytes
naive,5000000,0.272540,49%,1844,kbytes
naive,5000000,0.271671,44%,1812,kbytes
naive,5000000,0.269106,43%,1860,kbytes
naive,5000000,0.270708,46%,1828,kbytes
naive,5000000,0.270404,44%,1804,kbytes
naive,5000000,0.270793,47%,1768,kbytes
naive,5000000,0.287368,45%,1792,kbytes
naive,5000000,0.274631,46%,1940,kbytes
naive,5000000,0.286712,47%,1860,kbytes
naive,5000000,0.270387,47%,1796,kbytes
naive,5000000,0.270862,45%,1788,kbytes
naive,5000000,0.264057,43%,1756,kbytes
naive,5000000,0.273026,44%,1828,kbytes
naive,5000000,0.303357,47%,1784,kbytes
naive,5000000,0.281234,49%,1936,kbytes
naive,5000000,0.269778,44%,1932,kbytes
naive,5000000,0.264889,43%,1848,kbytes
naive,5000000,0.269329,49%,1800,kbytes
naive,5000000,0.291620,47%,1836,kbytes
naive,5000000,0.277622,46%,1832,kbytes
naive,5000000,0.282591,44%,1848,kbytes
naive,5000000,0.288408,51%,1844,kbytes
naive,5000000,0.260650,44%,1764,kbytes
naive,5000000,0.288677,45%,1952,kbytes
naive,5000000,0.284943,49%,1932,kbytes
naive,5000000,0.269601,44%,1828,kbytes
naive,5000000,0.275793,44%,1828,kbytes
naive,5000000,0.283806,45%,1844,kbytes
naive,5000000,0.277583,44%,1832,kbytes
naive,5000000,0.264250,44%,1800,kbytes
naive,5000000,0.279213,49%,1936,kbytes
naive,5000000,0.272640,44%,1828,kbytes
naive,5000000,0.270080,44%,1952,kbytes
naive,5000000,0.267307,45%,1852,kbytes
naive,5000000,0.281368,47%,1808,kbytes
naive,5000000,0.280188,52%,1924,kbytes
naive,5000000,0.288964,45%,1792,kbytes
naive,5000000,0.290642,46%,1952,kbytes
naive,5000000,0.277287,44%,1828,kbytes
