algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,10000,0.000453,40%,1796,kbytes
naive,10000,0.000574,33%,1784,kbytes
naive,10000,0.000515,33%,1932,kbytes
naive,10000,0.000489,25%,1924,kbytes
naive,10000,0.000526,25%,1828,kbytes
naive,10000,0.000571,28%,1932,kbytes
naive,10000,0.000580,28%,1840,kbytes
naive,10000,0.000595,20%,1756,kbytes
naive,10000,0.000465,16%,1756,kbytes
naive,10000,0.000431,16%,1828,kbytes
naive,10000,0.000499,33%,1932,kbytes
naive,10000,0.000541,33%,1848,kbytes
naive,10000,0.000463,28%,1856,kbytes
naive,10000,0.000449,16%,1804,kbytes
naive,10000,0.000454,20%,1764,kbytes
naive,10000,0.000480,16%,1852,kbytes
naive,10000,0.000460,16%,1836,kbytes
naive,10000,0.000536,33%,1844,kbytes
naive,10000,0.000529,28%,1848,kbytes
naive,10000,0.000500,16%,1792,kbytes
naive,10000,0.000627,33%,1864,kbytes
naive,10000,0.000442,20%,1860,kbytes
naive,10000,0.000457,16%,1764,kbytes
naive,10000,0.000486,33%,1844,kbytes
naive,10000,0.000628,40%,1832,kbytes
naive,10000,0.000475,33%,1764,kbytes
naive,10000,0.000474,16%,1864,kbytes
naive,10000,0.000468,16%,1856,kbytes
naive,10000,0.000532,33%,1952,kbytes
naive,10000,0.000552,33%,1852,kbytes
naive,10000,0.000582,33%,1864,kbytes
naive,10000,0.000466,20%,1956,kbytes
naive,10000,0.000483,16%,1828,kbytes
naive,10000,0.000479,16%,1952,kbytes
naive,10000,0.000459,20%,1788,kbytes
naive,10000,0.000477,20%,1952,kbytes
naive,10000,0.000530,40%,1812,kbytes
naive,10000,0.000649,33%,1928,kbytes
naive,10000,0.000530,33%,1860,kbytes
naive,10000,0.000491,20%,1852,kbytes
naive,10000,0.000441,20%,1856,kbytes
naive,10000,0.000462,16%,1828,kbytes
naive,10000,0.000516,16%,1860,kbytes
naive,10000,0.000425,20%,1756,kbytes
naive,10000,0.000547,16%,1776,kbytes
naive,10000,0.000464,33%,1852,kbytes
naive,10000,0.000553,28%,1864,kbytes
naive,10000,0.000470,33%,1956,kbytes
naive,10000,0.000488,16%,1924,kbytes
naive,10000,0.000516,33%,1856,kbytes
naive,10000,0.000504,16%,1844,kbytes
naive,10000,0.000521,40%,1836,kbytes
naive,10000,0.000465,25%,1788,kbytes
naive,10000,0.000812,33%,1804,kbytes
naive,10000,0.000535,33%,1800,kbytes
naive,10000,0.000470,20%,1828,kbytes
naive,10000,0.000459,16%,1800,kbytes
naive,10000,0.000539,33%,1756,kbytes
naive,10000,0.000491,33%,1828,kbytes
naive,10000,0.000544,33%,1812,kbytes
naive,10000,0.000508,16%,1800,kbytes
naive,10000,0.000509,20%,1764,kbytes
naive,10000,0.000519,33%,1800,kbytes
naive,10000,0.000507,20%,1828,kbytes
naive,10000,0.000525,33%,1756,kbytes
naive,10000,0.000484,20%,1836,kbytes
naive,10000,0.000510,16%,1856,kbytes
naive,10000,0.000474,16%,1768,kbytes
naive,10000,0.000505,16%,1828,kbytes
naive,10000,0.000543,16%,1764,kbytes
naive,10000,0.000666,33%,1804,kbytes
naive,10000,0.000538,33%,1756,kbytes
naive,10000,0.000529,33%,1756,kbytes
naive,10000,0.000524,33%,1952,kbytes
naive,10000,0.000660,33%,1828,kbytes
naive,10000,0.000503,33%,1808,kbytes
naive,10000,0.000466,40%,1804,kbytes
naive,10000,0.000552,33%,1932,kbytes
naive,10000,0.000481,16%,1932,kbytes
naive,10000,0.000719,25%,1828,kbytes
naive,10000,0.000678,28%,1848,kbytes
naive,10000,0.000559,28%,1856,kbytes
naive,10000,0.000609,28%,1756,kbytes
naive,10000,0.000737,25%,1804,kbytes
naive,10000,0.000451,20%,1936,kbytes
naive,10000,0.000480,16%,1844,kbytes
naive,10000,0.000558,33%,1940,kbytes
naive,10000,0.000502,40%,1764,kbytes
naive,10000,0.000554,33%,1852,kbytes
naive,10000,0.000487,20%,1932,kbytes
naive,10000,0.000485,20%,1932,kbytes
naive,10000,0.000447,25%,1860,kbytes
naive,10000,0.000535,33%,1928,kbytes
naive,10000,0.000539,16%,1792,kbytes
naive,10000,0.000517,16%,1828,kbytes
naive,10000,0.000548,33%,1832,kbytes
naive,10000,0.000479,16%,1760,kbytes
naive,10000,0.000522,33%,1804,kbytes
naive,10000,0.000523,16%,1788,kbytes
naive,10000,0.000496,40%,1856,kbytes
