algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,100000,0.005400,41%,1852,kbytes
naive,100000,0.004499,37%,1848,kbytes
naive,100000,0.004791,46%,1792,kbytes
naive,100000,0.004651,40%,1812,kbytes
naive,100000,0.004571,38%,1848,kbytes
naive,100000,0.005205,40%,1756,kbytes
naive,100000,0.004484,33%,1860,kbytes
naive,100000,0.004717,46%,1828,kbytes
naive,100000,0.004689,46%,1792,kbytes
naive,100000,0.004992,37%,1924,kbytes
naive,100000,0.004894,40%,1864,kbytes
naive,100000,0.005491,41%,1940,kbytes
naive,100000,0.004535,40%,1936,kbytes
naive,100000,0.004889,40%,1924,kbytes
naive,100000,0.004773,37%,1936,kbytes
naive,100000,0.004733,40%,1936,kbytes
naive,100000,0.004571,40%,1808,kbytes
naive,100000,0.004873,46%,1764,kbytes
naive,100000,0.004670,37%,1828,kbytes
naive,100000,0.004685,40%,1764,kbytes
naive,100000,0.004629,40%,1812,kbytes
naive,100000,0.004582,40%,1828,kbytes
naive,100000,0.005174,40%,1936,kbytes
naive,100000,0.005337,37%,1836,kbytes
naive,100000,0.004493,38%,1808,kbytes
naive,100000,0.005009,40%,1792,kbytes
naive,100000,0.005300,35%,1852,kbytes
naive,100000,0.004724,46%,1800,kbytes
naive,100000,0.004585,35%,1780,kbytes
naive,100000,0.004710,37%,1848,kbytes
naive,100000,0.004472,38%,1788,kbytes
naive,100000,0.005252,37%,1828,kbytes
naive,100000,0.005142,37%,1768,kbytes
naive,100000,0.004815,46%,1828,kbytes
naive,100000,0.004573,33%,1860,kbytes
naive,100000,0.004555,37%,1844,kbytes
naive,100000,0.007640,36%,1840,kbytes
naive,100000,0.004727,35%,1784,kbytes
naive,100000,0.004790,37%,1860,kbytes
naive,100000,0.004813,35%,1860,kbytes
naive,100000,0.005148,37%,1760,kbytes
naive,100000,0.004523,40%,1832,kbytes
naive,100000,0.004449,35%,1764,kbytes
naive,100000,0.004677,37%,1852,kbytes
naive,100000,0.004848,40%,1836,kbytes
naive,100000,0.005290,40%,1936,kbytes
naive,100000,0.004536,46%,1772,kbytes
naive,100000,0.004533,38%,1788,kbytes
naive,100000,0.004616,40%,1784,kbytes
naive,100000,0.005210,37%,1792,kbytes
naive,100000,0.004533,40%,1856,kbytes
naive,100000,0.005227,37%,1756,kbytes
naive,100000,0.004792,40%,1832,kbytes
naive,100000,0.005099,40%,1924,kbytes
naive,100000,0.005414,37%,1928,kbytes
naive,100000,0.004571,37%,1936,kbytes
naive,100000,0.005055,40%,1956,kbytes
naive,100000,0.004643,40%,1828,kbytes
naive,100000,0.004830,40%,1808,kbytes
naive,100000,0.004998,37%,1832,kbytes
naive,100000,0.004837,40%,1812,kbytes
naive,100000,0.004783,40%,1856,kbytes
naive,100000,0.004738,40%,1784,kbytes
naive,100000,0.004804,40%,1828,kbytes
naive,100000,0.004998,37%,1840,kbytes
naive,100000,0.004713,40%,1844,kbytes
naive,100000,0.004823,37%,1756,kbytes
naive,100000,0.004661,33%,1800,kbytes
naive,100000,0.004482,33%,1760,kbytes
naive,100000,0.004710,40%,1844,kbytes
naive,100000,0.004777,40%,1796,kbytes
naive,100000,0.004876,40%,1932,kbytes
naive,100000,0.004874,37%,1792,kbytes
naive,100000,0.004932,40%,1808,kbytes
naive,100000,0.005126,42%,1864,kbytes
naive,100000,0.004897,40%,1836,kbytes
naive,100000,0.005148,40%,1796,kbytes
naive,100000,0.004624,46%,1812,kbytes
naive,100000,0.004608,42%,1852,kbytes
naive,100000,0.004504,40%,1764,kbytes
naive,100000,0.004705,40%,1936,kbytes
naive,100000,0.004917,37%,1832,kbytes
naive,100000,0.004671,46%,1828,kbytes
naive,100000,0.004747,37%,1788,kbytes
naive,100000,0.004597,46%,1852,kbytes
naive,100000,0.005394,43%,1764,kbytes
naive,100000,0.004581,37%,1808,kbytes
naive,100000,0.004623,33%,1768,kbytes
naive,100000,0.004741,40%,1808,kbytes
naive,100000,0.004484,33%,1936,kbytes
naive,100000,0.005191,37%,1788,kbytes
naive,100000,0.005038,40%,1936,kbytes
naive,100000,0.004946,40%,1860,kbytes
naive,100000,0.004728,46%,1852,kbytes
naive,100000,0.004642,40%,1768,kbytes
naive,100000,0.004829,40%,1764,kbytes
naive,100000,0.004625,37%,1768,kbytes
naive,100000,0.005318,40%,1924,kbytes
naive,100000,0.004772,37%,1844,kbytes
naive,100000,0.004838,40%,1860,kbytes
