momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,poisson,ams,328,0.002292,66,992,kbytes
f1,poisson,ams,328,0.002317,66,992,kbytes
f1,poisson,ams,328,0.002292,66,992,kbytes
f1,poisson,ams,328,0.002321,66,992,kbytes
f1,poisson,ams,328,0.002334,66,992,kbytes
f1,poisson,ams,328,0.002343,66,992,kbytes
f1,poisson,ams,328,0.002333,66,992,kbytes
f1,poisson,ams,328,0.002341,66,992,kbytes
f1,poisson,ams,328,0.002279,66,992,kbytes
f1,poisson,ams,328,0.002285,66,992,kbytes
f1,poisson,ams,328,0.002280,66,992,kbytes
f1,poisson,ams,328,0.002284,66,992,kbytes
f1,poisson,ams,328,0.002288,66,992,kbytes
f1,poisson,ams,328,0.002337,66,992,kbytes
f1,poisson,ams,328,0.002284,66,992,kbytes
f1,poisson,ams,328,0.002329,66,992,kbytes
f1,poisson,ams,328,0.002339,66,992,kbytes
f1,poisson,ams,328,0.002286,66,992,kbytes
f1,poisson,ams,328,0.002335,66,992,kbytes
f1,poisson,ams,328,0.002336,66,992,kbytes
f1,poisson,ams,328,0.002386,66,992,kbytes
f1,poisson,ams,328,0.002341,66,992,kbytes
f1,poisson,ams,328,0.002306,66,992,kbytes
f1,poisson,ams,328,0.002341,66,992,kbytes
f1,poisson,ams,328,0.002284,66,992,kbytes
f1,poisson,ams,328,0.002284,66,992,kbytes
f1,poisson,ams,328,0.002346,66,992,kbytes
f1,poisson,ams,328,0.002344,66,992,kbytes
f1,poisson,ams,328,0.002296,66,992,kbytes
f1,poisson,ams,328,0.002351,66,992,kbytes
f1,poisson,ams,328,0.002309,66,992,kbytes
f1,poisson,ams,328,0.002285,66,992,kbytes
f1,poisson,ams,328,0.002316,66,992,kbytes
f1,poisson,ams,328,0.002311,66,992,kbytes
f1,poisson,ams,328,0.002311,66,992,kbytes
f1,poisson,ams,328,0.002349,66,992,kbytes
f1,poisson,ams,328,0.002289,66,992,kbytes
f1,poisson,ams,328,0.002347,66,992,kbytes
f1,poisson,ams,328,0.002291,50,992,kbytes
f1,poisson,ams,328,0.003153,66,1056,kbytes
f1,poisson,ams,328,0.002355,66,992,kbytes
f1,poisson,ams,328,0.002290,66,992,kbytes
f1,poisson,ams,328,0.002301,66,992,kbytes
f1,poisson,ams,328,0.002378,66,992,kbytes
f1,poisson,ams,328,0.002349,66,992,kbytes
f1,poisson,ams,328,0.002298,66,992,kbytes
f1,poisson,ams,328,0.002314,66,992,kbytes
f1,poisson,ams,328,0.002290,66,992,kbytes
f1,poisson,ams,328,0.002329,66,992,kbytes
f1,poisson,ams,328,0.002285,66,992,kbytes
f1,poisson,ams,328,0.002291,66,992,kbytes
f1,poisson,ams,328,0.002352,66,992,kbytes
f1,poisson,ams,328,0.002341,66,992,kbytes
f1,poisson,ams,328,0.002310,66,992,kbytes
f1,poisson,ams,328,0.002314,66,992,kbytes
f1,poisson,ams,328,0.002294,66,992,kbytes
f1,poisson,ams,328,0.002295,66,992,kbytes
f1,poisson,ams,328,0.002362,66,992,kbytes
f1,poisson,ams,328,0.002290,50,992,kbytes
f1,poisson,ams,328,0.002326,66,992,kbytes
f1,poisson,ams,328,0.002306,66,992,kbytes
f1,poisson,ams,328,0.002360,66,992,kbytes
f1,poisson,ams,328,0.002348,66,992,kbytes
f1,poisson,ams,328,0.002436,66,992,kbytes
f1,poisson,ams,328,0.002286,66,992,kbytes
f1,poisson,ams,328,0.002351,66,992,kbytes
f1,poisson,ams,328,0.002291,66,992,kbytes
f1,poisson,ams,328,0.002362,66,992,kbytes
f1,poisson,ams,328,0.002289,66,992,kbytes
f1,poisson,ams,328,0.002327,66,992,kbytes
f1,poisson,ams,328,0.002350,66,992,kbytes
f1,poisson,ams,328,0.002349,66,992,kbytes
f1,poisson,ams,328,0.002291,66,992,kbytes
f1,poisson,ams,328,0.002342,66,992,kbytes
f1,poisson,ams,328,0.002306,66,992,kbytes
f1,poisson,ams,328,0.002293,66,992,kbytes
f1,poisson,ams,328,0.002322,66,992,kbytes
f1,poisson,ams,328,0.002329,66,992,kbytes
f1,poisson,ams,328,0.002286,66,992,kbytes
f1,poisson,ams,328,0.002369,66,992,kbytes
f1,poisson,ams,328,0.002302,66,992,kbytes
f1,poisson,ams,328,0.002332,66,992,kbytes
f1,poisson,ams,328,0.002300,66,992,kbytes
f1,poisson,ams,328,0.002308,66,992,kbytes
f1,poisson,ams,328,0.002291,66,992,kbytes
f1,poisson,ams,328,0.002322,66,992,kbytes
f1,poisson,ams,328,0.002305,66,992,kbytes
f1,poisson,ams,328,0.002286,66,992,kbytes
f1,poisson,ams,328,0.002280,66,992,kbytes
f1,poisson,ams,328,0.002305,66,992,kbytes
f1,poisson,ams,328,0.002313,66,992,kbytes
f1,poisson,ams,328,0.002287,66,992,kbytes
f1,poisson,ams,328,0.002284,66,992,kbytes
f1,poisson,ams,328,0.002323,66,992,kbytes
f1,poisson,ams,328,0.002315,66,992,kbytes
f1,poisson,ams,328,0.002336,66,992,kbytes
f1,poisson,ams,328,0.002308,66,992,kbytes
f1,poisson,ams,328,0.002282,66,992,kbytes
f1,poisson,ams,328,0.002374,66,992,kbytes
f1,poisson,ams,328,0.002361,66,992,kbytes
