momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,esponenziale,naive,7477,2.183927,99,1088,kbytes
f0,esponenziale,naive,7477,2.192071,99,1088,kbytes
f0,esponenziale,naive,7477,2.186635,99,1024,kbytes
f0,esponenziale,naive,7477,2.185787,99,1024,kbytes
f0,esponenziale,naive,7477,2.184064,99,1024,kbytes
f0,esponenziale,naive,7477,2.187891,99,1088,kbytes
f0,esponenziale,naive,7477,2.186983,99,1088,kbytes
f0,esponenziale,naive,7477,2.181953,99,1088,kbytes
f0,esponenziale,naive,7477,2.182333,99,1088,kbytes
f0,esponenziale,naive,7477,2.182620,99,1088,kbytes
f0,esponenziale,naive,7477,2.182277,99,1088,kbytes
f0,esponenziale,naive,7477,2.185777,99,1088,kbytes
f0,esponenziale,naive,7477,2.185911,99,1088,kbytes
f0,esponenziale,naive,7477,2.182263,99,1088,kbytes
f0,esponenziale,naive,7477,2.185856,99,1024,kbytes
f0,esponenziale,naive,7477,2.182221,99,1088,kbytes
f0,esponenziale,naive,7477,2.182187,99,1088,kbytes
f0,esponenziale,naive,7477,2.184080,99,1088,kbytes
f0,esponenziale,naive,7477,2.181987,99,1024,kbytes
f0,esponenziale,naive,7477,2.182073,99,1088,kbytes
f0,esponenziale,naive,7477,2.181888,99,1088,kbytes
f0,esponenziale,naive,7477,2.182749,99,1088,kbytes
f0,esponenziale,naive,7477,2.181795,99,1024,kbytes
f0,esponenziale,naive,7477,2.182285,99,1088,kbytes
f0,esponenziale,naive,7477,2.182377,99,1024,kbytes
f0,esponenziale,naive,7477,2.182330,99,1024,kbytes
f0,esponenziale,naive,7477,2.184628,99,1024,kbytes
f0,esponenziale,naive,7477,2.183997,99,1024,kbytes
f0,esponenziale,naive,7477,2.181789,99,1024,kbytes
f0,esponenziale,naive,7477,2.182523,99,1088,kbytes
f0,esponenziale,naive,7477,2.182827,99,1024,kbytes
f0,esponenziale,naive,7477,2.182866,99,1024,kbytes
f0,esponenziale,naive,7477,2.184260,99,1088,kbytes
f0,esponenziale,naive,7477,2.186338,99,1024,kbytes
f0,esponenziale,naive,7477,2.183191,99,1024,kbytes
f0,esponenziale,naive,7477,2.182114,99,1024,kbytes
f0,esponenziale,naive,7477,2.182075,99,1088,kbytes
f0,esponenziale,naive,7477,2.182695,99,1088,kbytes
f0,esponenziale,naive,7477,2.182106,99,1024,kbytes
f0,esponenziale,naive,7477,2.182737,99,1088,kbytes
f0,esponenziale,naive,7477,2.182623,99,1088,kbytes
f0,esponenziale,naive,7477,2.182296,99,1088,kbytes
f0,esponenziale,naive,7477,2.181143,99,1024,kbytes
f0,esponenziale,naive,7477,2.182969,99,1088,kbytes
f0,esponenziale,naive,7477,2.182381,99,1088,kbytes
f0,esponenziale,naive,7477,2.184347,99,1024,kbytes
f0,esponenziale,naive,7477,2.189445,99,1088,kbytes
f0,esponenziale,naive,7477,2.184831,99,1088,kbytes
f0,esponenziale,naive,7477,2.187172,99,1024,kbytes
f0,esponenziale,naive,7477,2.185453,99,1024,kbytes
f0,esponenziale,naive,7477,2.182788,99,1088,kbytes
f0,esponenziale,naive,7477,2.186251,99,1088,kbytes
f0,esponenziale,naive,7477,2.182458,99,1024,kbytes
f0,esponenziale,naive,7477,2.181684,99,1088,kbytes
f0,esponenziale,naive,7477,2.182878,99,1024,kbytes
f0,esponenziale,naive,7477,2.187199,99,1088,kbytes
f0,esponenziale,naive,7477,2.181984,99,1024,kbytes
f0,esponenziale,naive,7477,2.182705,99,1024,kbytes
f0,esponenziale,naive,7477,2.182021,99,1088,kbytes
f0,esponenziale,naive,7477,2.182318,99,1024,kbytes
f0,esponenziale,naive,7477,2.182946,99,1024,kbytes
f0,esponenziale,naive,7477,2.182509,99,1088,kbytes
f0,esponenziale,naive,7477,2.183043,99,1024,kbytes
f0,esponenziale,naive,7477,2.181754,99,1024,kbytes
f0,esponenziale,naive,7477,2.182690,99,1088,kbytes
f0,esponenziale,naive,7477,2.183844,99,1088,kbytes
f0,esponenziale,naive,7477,2.182553,99,1024,kbytes
f0,esponenziale,naive,7477,2.182819,99,1088,kbytes
f0,esponenziale,naive,7477,2.182467,99,1088,kbytes
f0,esponenziale,naive,7477,2.182927,99,1024,kbytes
f0,esponenziale,naive,7477,2.182600,99,1088,kbytes
f0,esponenziale,naive,7477,2.186312,99,1088,kbytes
f0,esponenziale,naive,7477,2.182411,99,1088,kbytes
f0,esponenziale,naive,7477,2.182577,99,1088,kbytes
f0,esponenziale,naive,7477,2.186804,99,1024,kbytes
f0,esponenziale,naive,7477,2.182394,99,1088,kbytes
f0,esponenziale,naive,7477,2.184695,99,1024,kbytes
f0,esponenziale,naive,7477,2.185343,99,1088,kbytes
f0,esponenziale,naive,7477,2.182874,99,1088,kbytes
f0,esponenziale,naive,7477,2.181943,99,1088,kbytes
f0,esponenziale,naive,7477,2.182859,99,1024,kbytes
f0,esponenziale,naive,7477,2.182639,99,1088,kbytes
f0,esponenziale,naive,7477,2.182900,99,1088,kbytes
f0,esponenziale,naive,7477,2.184914,99,1024,kbytes
f0,esponenziale,naive,7477,2.185480,99,1024,kbytes
f0,esponenziale,naive,7477,2.182749,99,1024,kbytes
f0,esponenziale,naive,7477,2.182499,99,1088,kbytes
f0,esponenziale,naive,7477,2.181966,99,1088,kbytes
f0,esponenziale,naive,7477,2.182461,99,1088,kbytes
f0,esponenziale,naive,7477,2.182329,99,1088,kbytes
f0,esponenziale,naive,7477,2.185628,99,1024,kbytes
f0,esponenziale,naive,7477,2.182704,99,1088,kbytes
f0,esponenziale,naive,7477,2.187503,99,1088,kbytes
