momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,poisson,naive,5000000,0.225436,99,1056,kbytes
f1,poisson,naive,5000000,0.225222,100,992,kbytes
f1,poisson,naive,5000000,0.226019,99,992,kbytes
f1,poisson,naive,5000000,0.224963,99,992,kbytes
f1,poisson,naive,5000000,0.225705,99,992,kbytes
f1,poisson,naive,5000000,0.224924,99,992,kbytes
f1,poisson,naive,5000000,0.225119,100,992,kbytes
f1,poisson,naive,5000000,0.225069,100,992,kbytes
f1,poisson,naive,5000000,0.226792,99,992,kbytes
f1,poisson,naive,5000000,0.224787,99,992,kbytes
f1,poisson,naive,5000000,0.224868,99,992,kbytes
f1,poisson,naive,5000000,0.225159,100,992,kbytes
f1,poisson,naive,5000000,0.225620,99,1056,kbytes
f1,poisson,naive,5000000,0.225003,99,992,kbytes
f1,poisson,naive,5000000,0.225041,99,992,kbytes
f1,poisson,naive,5000000,0.224924,99,992,kbytes
f1,poisson,naive,5000000,0.225019,99,992,kbytes
f1,poisson,naive,5000000,0.224932,99,992,kbytes
f1,poisson,naive,5000000,0.224715,99,992,kbytes
f1,poisson,naive,5000000,0.225068,100,992,kbytes
f1,poisson,naive,5000000,0.224965,99,992,kbytes
f1,poisson,naive,5000000,0.225245,100,992,kbytes
f1,poisson,naive,5000000,0.224892,99,992,kbytes
f1,poisson,naive,5000000,0.224827,99,992,kbytes
f1,poisson,naive,5000000,0.225146,99,992,kbytes
f1,poisson,naive,5000000,0.225686,99,1056,kbytes
f1,poisson,naive,5000000,0.225125,100,992,kbytes
f1,poisson,naive,5000000,0.225429,100,992,kbytes
f1,poisson,naive,5000000,0.225076,100,992,kbytes
f1,poisson,naive,5000000,0.225060,100,992,kbytes
f1,poisson,naive,5000000,0.225032,99,992,kbytes
f1,poisson,naive,5000000,0.225039,99,992,kbytes
f1,poisson,naive,5000000,0.225040,99,992,kbytes
f1,poisson,naive,5000000,0.225172,99,992,kbytes
f1,poisson,naive,5000000,0.224956,99,992,kbytes
f1,poisson,naive,5000000,0.225131,100,992,kbytes
f1,poisson,naive,5000000,0.224793,99,992,kbytes
f1,poisson,naive,5000000,0.224683,99,992,kbytes
f1,poisson,naive,5000000,0.225153,100,992,kbytes
f1,poisson,naive,5000000,0.224792,99,992,kbytes
f1,poisson,naive,5000000,0.225160,100,992,kbytes
f1,poisson,naive,5000000,0.225004,99,992,kbytes
f1,poisson,naive,5000000,0.225023,99,992,kbytes
f1,poisson,naive,5000000,0.225757,99,992,kbytes
f1,poisson,naive,5000000,0.225012,99,992,kbytes
f1,poisson,naive,5000000,0.225049,99,992,kbytes
f1,poisson,naive,5000000,0.224988,99,992,kbytes
f1,poisson,naive,5000000,0.225032,99,992,kbytes
f1,poisson,naive,5000000,0.224987,99,992,kbytes
f1,poisson,naive,5000000,0.224878,99,992,kbytes
f1,poisson,naive,5000000,0.225132,100,1056,kbytes
f1,poisson,naive,5000000,0.225104,100,992,kbytes
f1,poisson,naive,5000000,0.224968,99,992,kbytes
f1,poisson,naive,5000000,0.225013,99,992,kbytes
f1,poisson,naive,5000000,0.224755,99,992,kbytes
f1,poisson,naive,5000000,0.224962,99,992,kbytes
f1,poisson,naive,5000000,0.224794,99,992,kbytes
f1,poisson,naive,5000000,0.225926,99,992,kbytes
f1,poisson,naive,5000000,0.224812,99,992,kbytes
f1,poisson,naive,5000000,0.224821,99,992,kbytes
f1,poisson,naive,5000000,0.224816,99,992,kbytes
f1,poisson,naive,5000000,0.225003,99,992,kbytes
f1,poisson,naive,5000000,0.225071,100,992,kbytes
f1,poisson,naive,5000000,0.224944,99,992,kbytes
f1,poisson,naive,5000000,0.224992,99,992,kbytes
f1,poisson,naive,5000000,0.225135,99,992,kbytes
f1,poisson,naive,5000000,0.225941,99,992,kbytes
f1,poisson,naive,5000000,0.224782,99,992,kbytes
f1,poisson,naive,5000000,0.224955,99,992,kbytes
f1,poisson,naive,5000000,0.224958,99,992,kbytes
f1,poisson,naive,5000000,0.224990,99,992,kbytes
f1,poisson,naive,5000000,0.225000,99,992,kbytes
f1,poisson,naive,5000000,0.224968,99,992,kbytes
f1,poisson,naive,5000000,0.224963,99,992,kbytes
f1,poisson,naive,5000000,0.224932,99,992,kbytes
f1,poisson,naive,5000000,0.225098,100,992,kbytes
f1,poisson,naive,5000000,0.224978,99,992,kbytes
f1,poisson,naive,5000000,0.225033,99,992,kbytes
f1,poisson,naive,5000000,0.225300,99,992,kbytes
f1,poisson,naive,5000000,0.224924,99,992,kbytes
f1,poisson,naive,5000000,0.224905,99,992,kbytes
f1,poisson,naive,5000000,0.225212,100,992,kbytes
f1,poisson,naive,5000000,0.224937,99,992,kbytes
f1,poisson,naive,5000000,0.224955,99,992,kbytes
f1,poisson,naive,5000000,0.224967,99,992,kbytes
f1,poisson,naive,5000000,0.224921,99,992,kbytes
f1,poisson,naive,5000000,0.224904,99,992,kbytes
