momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,uniforme,naive,1000000,0.060387,96,1056,kbytes
f1,uniforme,naive,1000000,0.060320,96,1056,kbytes
f1,uniforme,naive,1000000,0.060210,96,992,kbytes
f1,uniforme,naive,1000000,0.060158,98,992,kbytes
f1,uniforme,naive,1000000,0.060144,98,992,kbytes
f1,uniforme,naive,1000000,0.060107,98,992,kbytes
f1,uniforme,naive,1000000,0.060207,98,1056,kbytes
f1,uniforme,naive,1000000,0.059968,98,992,kbytes
f1,uniforme,naive,1000000,0.060142,98,992,kbytes
f1,uniforme,naive,1000000,0.059955,98,992,kbytes
f1,uniforme,naive,1000000,0.060095,98,992,kbytes
f1,uniforme,naive,1000000,0.060049,98,992,kbytes
f1,uniforme,naive,1000000,0.060111,98,992,kbytes
f1,uniforme,naive,1000000,0.059979,98,992,kbytes
f1,uniforme,naive,1000000,0.059950,98,992,kbytes
f1,uniforme,naive,1000000,0.059973,98,992,kbytes
f1,uniforme,naive,1000000,0.060566,96,992,kbytes
f1,uniforme,naive,1000000,0.059878,98,992,kbytes
f1,uniforme,naive,1000000,0.060039,98,992,kbytes
f1,uniforme,naive,1000000,0.060246,98,992,kbytes
f1,uniforme,naive,1000000,0.060191,98,992,kbytes
f1,uniforme,naive,1000000,0.059999,98,992,kbytes
f1,uniforme,naive,1000000,0.059685,96,992,kbytes
f1,uniforme,naive,1000000,0.059800,98,992,kbytes
f1,uniforme,naive,1000000,0.059844,98,992,kbytes
f1,uniforme,naive,1000000,0.059914,98,1056,kbytes
f1,uniforme,naive,1000000,0.060300,98,992,kbytes
f1,uniforme,naive,1000000,0.060267,98,992,kbytes
f1,uniforme,naive,1000000,0.059881,98,1056,kbytes
f1,uniforme,naive,1000000,0.060404,98,992,kbytes
f1,uniforme,naive,1000000,0.060035,98,992,kbytes
f1,uniforme,naive,1000000,0.060175,98,992,kbytes
f1,uniforme,naive,1000000,0.060358,98,992,kbytes
f1,uniforme,naive,1000000,0.060372,98,992,kbytes
f1,uniforme,naive,1000000,0.060224,98,992,kbytes
f1,uniforme,naive,1000000,0.059887,98,992,kbytes
f1,uniforme,naive,1000000,0.060649,96,992,kbytes
f1,uniforme,naive,1000000,0.060196,98,992,kbytes
f1,uniforme,naive,1000000,0.059867,98,992,kbytes
f1,uniforme,naive,1000000,0.060025,98,992,kbytes
f1,uniforme,naive,1000000,0.059875,98,992,kbytes
f1,uniforme,naive,1000000,0.060206,98,992,kbytes
f1,uniforme,naive,1000000,0.060379,98,992,kbytes
f1,uniforme,naive,1000000,0.059869,98,992,kbytes
f1,uniforme,naive,1000000,0.060281,98,992,kbytes
f1,uniforme,naive,1000000,0.059871,98,992,kbytes
f1,uniforme,naive,1000000,0.060297,98,992,kbytes
f1,uniforme,naive,1000000,0.059892,98,992,kbytes
f1,uniforme,naive,1000000,0.059852,98,992,kbytes
f1,uniforme,naive,1000000,0.060216,98,992,kbytes
f1,uniforme,naive,1000000,0.059981,98,992,kbytes
f1,uniforme,naive,1000000,0.059906,98,992,kbytes
f1,uniforme,naive,1000000,0.060246,98,992,kbytes
f1,uniforme,naive,1000000,0.060440,98,992,kbytes
f1,uniforme,naive,1000000,0.060292,98,992,kbytes
f1,uniforme,naive,1000000,0.060258,96,1056,kbytes
f1,uniforme,naive,1000000,0.059992,98,992,kbytes
f1,uniforme,naive,1000000,0.060021,98,992,kbytes
f1,uniforme,naive,1000000,0.060080,96,992,kbytes
f1,uniforme,naive,1000000,0.060078,98,992,kbytes
f1,uniforme,naive,1000000,0.060134,96,992,kbytes
f1,uniforme,naive,1000000,0.060218,96,992,kbytes
f1,uniforme,naive,1000000,0.060282,96,992,kbytes
f1,uniforme,naive,1000000,0.060343,98,992,kbytes
f1,uniforme,naive,1000000,0.060438,96,992,kbytes
f1,uniforme,naive,1000000,0.060468,98,992,kbytes
f1,uniforme,naive,1000000,0.060072,98,992,kbytes
f1,uniforme,naive,1000000,0.060353,98,992,kbytes
f1,uniforme,naive,1000000,0.060206,98,992,kbytes
f1,uniforme,naive,1000000,0.060512,98,992,kbytes
