momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,uniforme,ams,128,0.001623,33,1312,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001653,33,1152,kbytes
f0,uniforme,ams,128,0.001633,33,1152,kbytes
f0,uniforme,ams,128,0.001642,50,1152,kbytes
f0,uniforme,ams,128,0.001639,50,1152,kbytes
f0,uniforme,ams,128,0.001635,50,1152,kbytes
f0,uniforme,ams,128,0.001643,50,1152,kbytes
f0,uniforme,ams,128,0.001641,50,1152,kbytes
f0,uniforme,ams,128,0.001640,50,1152,kbytes
f0,uniforme,ams,128,0.001638,50,1152,kbytes
f0,uniforme,ams,128,0.001655,50,1152,kbytes
f0,uniforme,ams,128,0.001635,50,1152,kbytes
f0,uniforme,ams,128,0.001651,50,1152,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001640,50,1152,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001629,50,1152,kbytes
f0,uniforme,ams,128,0.001641,50,1152,kbytes
f0,uniforme,ams,128,0.001643,50,1152,kbytes
f0,uniforme,ams,128,0.001647,33,1152,kbytes
f0,uniforme,ams,128,0.001655,50,1152,kbytes
f0,uniforme,ams,128,0.001638,50,1152,kbytes
f0,uniforme,ams,128,0.001638,33,1152,kbytes
f0,uniforme,ams,128,0.001629,50,1152,kbytes
f0,uniforme,ams,128,0.001647,33,1152,kbytes
f0,uniforme,ams,128,0.001660,50,1152,kbytes
f0,uniforme,ams,128,0.001634,50,1152,kbytes
f0,uniforme,ams,128,0.001633,33,1152,kbytes
f0,uniforme,ams,128,0.001654,33,1152,kbytes
f0,uniforme,ams,128,0.001661,50,1152,kbytes
f0,uniforme,ams,128,0.001642,33,1152,kbytes
f0,uniforme,ams,128,0.001637,50,1152,kbytes
f0,uniforme,ams,128,0.001641,50,1152,kbytes
f0,uniforme,ams,128,0.001636,50,1152,kbytes
f0,uniforme,ams,128,0.001660,33,1152,kbytes
f0,uniforme,ams,128,0.001635,50,1152,kbytes
f0,uniforme,ams,128,0.001644,33,1152,kbytes
f0,uniforme,ams,128,0.001646,33,1152,kbytes
f0,uniforme,ams,128,0.001635,33,1152,kbytes
f0,uniforme,ams,128,0.001637,50,1152,kbytes
f0,uniforme,ams,128,0.001639,50,1152,kbytes
f0,uniforme,ams,128,0.001654,33,1152,kbytes
f0,uniforme,ams,128,0.001649,50,1152,kbytes
f0,uniforme,ams,128,0.001654,50,1152,kbytes
f0,uniforme,ams,128,0.001657,33,1152,kbytes
f0,uniforme,ams,128,0.001643,50,1152,kbytes
f0,uniforme,ams,128,0.001633,50,1152,kbytes
f0,uniforme,ams,128,0.001651,33,1152,kbytes
f0,uniforme,ams,128,0.001656,33,1152,kbytes
f0,uniforme,ams,128,0.001645,50,1152,kbytes
f0,uniforme,ams,128,0.001626,50,1152,kbytes
f0,uniforme,ams,128,0.001633,33,1152,kbytes
f0,uniforme,ams,128,0.001636,50,1152,kbytes
f0,uniforme,ams,128,0.001634,50,1152,kbytes
f0,uniforme,ams,128,0.001656,50,1152,kbytes
f0,uniforme,ams,128,0.001657,50,1152,kbytes
f0,uniforme,ams,128,0.001649,33,1152,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001628,50,1152,kbytes
f0,uniforme,ams,128,0.001630,33,1152,kbytes
f0,uniforme,ams,128,0.001636,50,1152,kbytes
f0,uniforme,ams,128,0.001656,50,1152,kbytes
f0,uniforme,ams,128,0.001649,33,1152,kbytes
f0,uniforme,ams,128,0.001644,50,1152,kbytes
f0,uniforme,ams,128,0.001647,50,1152,kbytes
f0,uniforme,ams,128,0.001649,50,1152,kbytes
f0,uniforme,ams,128,0.001655,50,1152,kbytes
f0,uniforme,ams,128,0.001634,50,1152,kbytes
f0,uniforme,ams,128,0.001642,50,1152,kbytes
f0,uniforme,ams,128,0.001635,33,1152,kbytes
f0,uniforme,ams,128,0.001650,50,1152,kbytes
f0,uniforme,ams,128,0.001635,33,1152,kbytes
f0,uniforme,ams,128,0.001637,50,1152,kbytes
f0,uniforme,ams,128,0.001644,33,1152,kbytes
f0,uniforme,ams,128,0.001657,33,1152,kbytes
f0,uniforme,ams,128,0.001649,50,1152,kbytes
f0,uniforme,ams,128,0.001637,33,1152,kbytes
f0,uniforme,ams,128,0.001633,50,1152,kbytes
f0,uniforme,ams,128,0.001650,33,1152,kbytes
f0,uniforme,ams,128,0.001652,33,1152,kbytes
f0,uniforme,ams,128,0.001651,33,1152,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001639,50,1152,kbytes
f0,uniforme,ams,128,0.001643,33,1152,kbytes
f0,uniforme,ams,128,0.001649,50,1152,kbytes
f0,uniforme,ams,128,0.001652,33,1152,kbytes
f0,uniforme,ams,128,0.001650,50,1152,kbytes
f0,uniforme,ams,128,0.001644,33,1152,kbytes
f0,uniforme,ams,128,0.001631,33,1152,kbytes
f0,uniforme,ams,128,0.001652,50,1152,kbytes
f0,uniforme,ams,128,0.001638,50,1152,kbytes
f0,uniforme,ams,128,0.001641,33,1152,kbytes
f0,uniforme,ams,128,0.001661,33,1152,kbytes
f0,uniforme,ams,128,0.001637,33,1152,kbytes
f0,uniforme,ams,128,0.001639,50,1152,kbytes
f0,uniforme,ams,128,0.001641,50,1152,kbytes
f0,uniforme,ams,128,0.001651,33,1152,kbytes
f0,uniforme,ams,128,0.001639,50,1152,kbytes
f0,uniforme,ams,128,0.001661,33,1152,kbytes
