momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,poisson,naive,10000,0.000394,0,1168,kbytes
f1,poisson,naive,10000,0.000366,0,1168,kbytes
f1,poisson,naive,10000,0.000355,0,1168,kbytes
f1,poisson,naive,10000,0.000358,0,1168,kbytes
f1,poisson,naive,10000,0.000354,0,1168,kbytes
f1,poisson,naive,10000,0.000354,0,1168,kbytes
f1,poisson,naive,10000,0.000350,0,1168,kbytes
f1,poisson,naive,10000,0.000358,0,1168,kbytes
f1,poisson,naive,10000,0.000350,0,1168,kbytes
f1,poisson,naive,10000,0.000353,0,1168,kbytes
f1,poisson,naive,10000,0.000376,0,1168,kbytes
f1,poisson,naive,10000,0.000393,0,1168,kbytes
f1,poisson,naive,10000,0.000352,0,1168,kbytes
f1,poisson,naive,10000,0.000358,0,1168,kbytes
f1,poisson,naive,10000,0.000366,0,1168,kbytes
f1,poisson,naive,10000,0.000352,0,1168,kbytes
f1,poisson,naive,10000,0.000357,0,1168,kbytes
f1,poisson,naive,10000,0.000359,0,1168,kbytes
f1,poisson,naive,10000,0.000352,0,1168,kbytes
f1,poisson,naive,10000,0.000350,0,1168,kbytes
f1,poisson,naive,10000,0.000358,0,1168,kbytes
f1,poisson,naive,10000,0.000364,0,1168,kbytes
f1,poisson,naive,10000,0.000367,0,1168,kbytes
f1,poisson,naive,10000,0.000368,0,1168,kbytes
f1,poisson,naive,10000,0.000355,0,1168,kbytes
f1,poisson,naive,10000,0.000385,0,1168,kbytes
f1,poisson,naive,10000,0.000357,0,1168,kbytes
f1,poisson,naive,10000,0.000360,0,1168,kbytes
f1,poisson,naive,10000,0.000364,0,1168,kbytes
f1,poisson,naive,10000,0.000360,0,1168,kbytes
f1,poisson,naive,10000,0.000354,0,1168,kbytes
f1,poisson,naive,10000,0.000361,0,1168,kbytes
f1,poisson,naive,10000,0.000352,0,1168,kbytes
f1,poisson,naive,10000,0.000373,0,1168,kbytes
f1,poisson,naive,10000,0.000356,0,1168,kbytes
f1,poisson,naive,10000,0.000364,0,1168,kbytes
f1,poisson,naive,10000,0.000353,0,1168,kbytes
f1,poisson,naive,10000,0.000350,0,1168,kbytes
f1,poisson,naive,10000,0.000361,0,1168,kbytes
