momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
f1,uniforme,naive,10000,0.000608,0,1152,kbytes
f1,uniforme,naive,10000,0.000617,0,1152,kbytes
f1,uniforme,naive,10000,0.000607,0,1152,kbytes
f1,uniforme,naive,10000,0.000618,0,1152,kbytes
f1,uniforme,naive,10000,0.000632,0,1152,kbytes
f1,uniforme,naive,10000,0.000611,0,1152,kbytes
f1,uniforme,naive,10000,0.000615,0,1152,kbytes
f1,uniforme,naive,10000,0.000615,0,1152,kbytes
f1,uniforme,naive,10000,0.000616,0,1152,kbytes
f1,uniforme,naive,10000,0.000609,0,1152,kbytes
f1,uniforme,naive,10000,0.000631,0,1152,kbytes
f1,uniforme,naive,10000,0.000632,0,1152,kbytes
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
f1,uniforme,naive,10000,0.000624,0,1152,kbytes
f1,uniforme,naive,10000,0.000615,0,1152,kbytes
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
f1,uniforme,naive,10000,0.000624,0,1152,kbytes
f1,uniforme,naive,10000,0.000626,0,1152,kbytes
f1,uniforme,naive,10000,0.000606,0,1152,kbytes
f1,uniforme,naive,10000,0.000605,0,1152,kbytes
f1,uniforme,naive,10000,0.000623,0,1152,kbytes
f1,uniforme,naive,10000,0.000606,0,1152,kbytes
f1,uniforme,naive,10000,0.000606,0,1152,kbytes
f1,uniforme,naive,10000,0.000626,0,1152,kbytes
f1,uniforme,naive,10000,0.000617,0,1152,kbytes
f1,uniforme,naive,10000,0.000609,0,1152,kbytes
f1,uniforme,naive,10000,0.000611,0,1152,kbytes
f1,uniforme,naive,10000,0.000620,0,1152,kbytes
f1,uniforme,naive,10000,0.000604,0,1152,kbytes
f1,uniforme,naive,10000,0.000628,0,1152,kbytes
f1,uniforme,naive,10000,0.000610,0,1152,kbytes
f1,uniforme,naive,10000,0.000627,0,1152,kbytes
f1,uniforme,naive,10000,0.000630,0,1152,kbytes
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
f1,uniforme,naive,10000,0.000611,0,1152,kbytes
f1,uniforme,naive,10000,0.000605,0,1152,kbytes
f1,uniforme,naive,10000,0.000610,0,1152,kbytes
f1,uniforme,naive,10000,0.000627,0,1152,kbytes
f1,uniforme,naive,10000,0.000626,0,1152,kbytes
f1,uniforme,naive,10000,0.000605,0,1152,kbytes
f1,uniforme,naive,10000,0.000627,0,1152,kbytes
f1,uniforme,naive,10000,0.000605,0,1152,kbytes
f1,uniforme,naive,10000,0.000603,0,1152,kbytes
f1,uniforme,naive,10000,0.000615,0,1152,kbytes
f1,uniforme,naive,10000,0.000606,0,1152,kbytes
f1,uniforme,naive,10000,0.000607,0,1152,kbytes
f1,uniforme,naive,10000,0.000604,0,1152,kbytes
f1,uniforme,naive,10000,0.000603,0,1152,kbytes
f1,uniforme,naive,10000,0.000626,0,1152,kbytes
f1,uniforme,naive,10000,0.000604,0,1152,kbytes
f1,uniforme,naive,10000,0.000608,0,1152,kbytes
f1,uniforme,naive,10000,0.000604,0,1152,kbytes
f1,uniforme,naive,10000,0.000624,0,1152,kbytes
f1,uniforme,naive,10000,0.000605,0,1152,kbytes
f1,uniforme,naive,10000,0.000623,0,1152,kbytes
f1,uniforme,naive,10000,0.000608,0,1152,kbytes
f1,uniforme,naive,10000,0.000616,0,1152,kbytes
f1,uniforme,naive,10000,0.000613,0,1152,kbytes
f1,uniforme,naive,10000,0.000622,0,1152,kbytes
f1,uniforme,naive,10000,0.000615,0,1152,kbytes
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
f1,uniforme,naive,10000,0.000606,0,1152,kbytes
f1,uniforme,naive,10000,0.000625,0,1152,kbytes
f1,uniforme,naive,10000,0.000617,0,1152,kbytes
f1,uniforme,naive,10000,0.000626,0,1152,kbytes
f1,uniforme,naive,10000,0.000619,0,1152,kbytes
f1,uniforme,naive,10000,0.000614,0,1152,kbytes
