momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,poisson,ams,256,0.000571,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000537,0,1168,kbytes
f0,poisson,ams,256,0.000566,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000530,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000553,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000530,0,1168,kbytes
f0,poisson,ams,256,0.000527,0,1168,kbytes
f0,poisson,ams,256,0.000527,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000527,0,1168,kbytes
f0,poisson,ams,256,0.000533,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000529,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000535,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000540,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000529,0,1168,kbytes
f0,poisson,ams,256,0.000559,0,1168,kbytes
f0,poisson,ams,256,0.000543,0,1168,kbytes
f0,poisson,ams,256,0.000557,0,1168,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
f0,poisson,ams,256,0.000525,0,1168,kbytes
f0,poisson,ams,256,0.000526,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000535,0,1168,kbytes
f0,poisson,ams,256,0.000526,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000527,0,1168,kbytes
f0,poisson,ams,256,0.000533,0,1168,kbytes
f0,poisson,ams,256,0.000530,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000533,0,1168,kbytes
f0,poisson,ams,256,0.000529,0,1168,kbytes
f0,poisson,ams,256,0.000523,0,1168,kbytes
f0,poisson,ams,256,0.000549,0,1168,kbytes
f0,poisson,ams,256,0.000539,0,1168,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000541,0,1168,kbytes
f0,poisson,ams,256,0.000552,0,1168,kbytes
f0,poisson,ams,256,0.000530,0,1168,kbytes
f0,poisson,ams,256,0.000528,0,1168,kbytes
f0,poisson,ams,256,0.000549,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000541,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000536,0,1168,kbytes
f0,poisson,ams,256,0.000533,0,1168,kbytes
f0,poisson,ams,256,0.000536,0,1168,kbytes
f0,poisson,ams,256,0.000547,0,1168,kbytes
f0,poisson,ams,256,0.000539,0,1168,kbytes
f0,poisson,ams,256,0.000528,0,1168,kbytes
f0,poisson,ams,256,0.000535,0,1168,kbytes
f0,poisson,ams,256,0.000530,0,1168,kbytes
f0,poisson,ams,256,0.000540,0,1168,kbytes
f0,poisson,ams,256,0.000529,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000531,0,1168,kbytes
f0,poisson,ams,256,0.000592,66,1616,kbytes
f0,poisson,ams,256,0.000534,0,1168,kbytes
f0,poisson,ams,256,0.000543,0,1168,kbytes
f0,poisson,ams,256,0.000606,0,1168,kbytes
f0,poisson,ams,256,0.000558,0,1168,kbytes
f0,poisson,ams,256,0.000528,0,1168,kbytes
f0,poisson,ams,256,0.000536,0,1168,kbytes
f0,poisson,ams,256,0.000529,0,1168,kbytes
f0,poisson,ams,256,0.000532,0,1168,kbytes
f0,poisson,ams,256,0.000608,0,1168,kbytes
f0,poisson,ams,256,0.000578,0,1168,kbytes
f0,poisson,ams,256,0.000592,0,1168,kbytes
f0,poisson,ams,256,0.000540,0,1168,kbytes
f0,poisson,ams,256,0.000539,0,1168,kbytes
f0,poisson,ams,256,0.000557,0,1168,kbytes
f0,poisson,ams,256,0.000576,0,1168,kbytes
f0,poisson,ams,256,0.000540,0,1168,kbytes
f0,poisson,ams,256,0.000533,0,1168,kbytes
f0,poisson,ams,256,0.000545,0,1168,kbytes
f0,poisson,ams,256,0.000554,0,1168,kbytes
f0,poisson,ams,256,0.000538,0,1168,kbytes
