momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,poisson,ams,256,0.002555,66,1168,kbytes
f0,poisson,ams,256,0.002463,66,1168,kbytes
f0,poisson,ams,256,0.002571,66,1168,kbytes
f0,poisson,ams,256,0.002641,66,1168,kbytes
f0,poisson,ams,256,0.002583,66,1168,kbytes
f0,poisson,ams,256,0.002532,66,1168,kbytes
f0,poisson,ams,256,0.002590,66,1168,kbytes
f0,poisson,ams,256,0.002498,66,1168,kbytes
f0,poisson,ams,256,0.002513,66,1168,kbytes
f0,poisson,ams,256,0.002563,66,1168,kbytes
f0,poisson,ams,256,0.002499,66,1168,kbytes
f0,poisson,ams,256,0.002564,66,1168,kbytes
f0,poisson,ams,256,0.002583,66,1168,kbytes
f0,poisson,ams,256,0.002528,66,1168,kbytes
f0,poisson,ams,256,0.002615,66,1168,kbytes
f0,poisson,ams,256,0.002578,66,1248,kbytes
f0,poisson,ams,256,0.002569,66,1168,kbytes
f0,poisson,ams,256,0.002587,66,1168,kbytes
f0,poisson,ams,256,0.002482,66,1168,kbytes
f0,poisson,ams,256,0.002496,66,1168,kbytes
f0,poisson,ams,256,0.002559,66,1168,kbytes
f0,poisson,ams,256,0.002498,66,1168,kbytes
f0,poisson,ams,256,0.002501,66,1168,kbytes
f0,poisson,ams,256,0.002597,66,1168,kbytes
f0,poisson,ams,256,0.002679,66,1168,kbytes
f0,poisson,ams,256,0.002455,66,1168,kbytes
f0,poisson,ams,256,0.002523,66,1168,kbytes
f0,poisson,ams,256,0.002513,66,1168,kbytes
f0,poisson,ams,256,0.002491,66,1168,kbytes
f0,poisson,ams,256,0.002611,66,1168,kbytes
f0,poisson,ams,256,0.002589,66,1168,kbytes
f0,poisson,ams,256,0.002525,66,1168,kbytes
f0,poisson,ams,256,0.002595,66,1168,kbytes
f0,poisson,ams,256,0.002508,66,1168,kbytes
f0,poisson,ams,256,0.002494,66,1168,kbytes
f0,poisson,ams,256,0.002552,66,1168,kbytes
f0,poisson,ams,256,0.002457,66,1168,kbytes
f0,poisson,ams,256,0.002490,66,1168,kbytes
f0,poisson,ams,256,0.002555,66,1168,kbytes
f0,poisson,ams,256,0.002459,66,1168,kbytes
f0,poisson,ams,256,0.002507,66,1168,kbytes
f0,poisson,ams,256,0.002527,66,1168,kbytes
f0,poisson,ams,256,0.002481,66,1168,kbytes
f0,poisson,ams,256,0.002507,66,1168,kbytes
f0,poisson,ams,256,0.002546,66,1168,kbytes
f0,poisson,ams,256,0.002580,66,1168,kbytes
f0,poisson,ams,256,0.002605,66,1168,kbytes
f0,poisson,ams,256,0.002579,66,1168,kbytes
f0,poisson,ams,256,0.002505,66,1168,kbytes
f0,poisson,ams,256,0.002555,66,1168,kbytes
f0,poisson,ams,256,0.002635,66,1168,kbytes
f0,poisson,ams,256,0.002537,66,1168,kbytes
f0,poisson,ams,256,0.002658,66,1168,kbytes
f0,poisson,ams,256,0.002617,66,1168,kbytes
f0,poisson,ams,256,0.002518,66,1168,kbytes
f0,poisson,ams,256,0.002659,66,1168,kbytes
f0,poisson,ams,256,0.002644,66,1248,kbytes
f0,poisson,ams,256,0.002587,66,1168,kbytes
f0,poisson,ams,256,0.002626,66,1168,kbytes
f0,poisson,ams,256,0.002485,66,1168,kbytes
f0,poisson,ams,256,0.002504,66,1168,kbytes
f0,poisson,ams,256,0.002581,66,1168,kbytes
f0,poisson,ams,256,0.002592,66,1168,kbytes
f0,poisson,ams,256,0.002531,66,1168,kbytes
f0,poisson,ams,256,0.002576,66,1168,kbytes
f0,poisson,ams,256,0.002485,66,1168,kbytes
f0,poisson,ams,256,0.002521,66,1168,kbytes
f0,poisson,ams,256,0.002466,66,1168,kbytes
f0,poisson,ams,256,0.002521,66,1168,kbytes
f0,poisson,ams,256,0.002575,66,1168,kbytes
f0,poisson,ams,256,0.002493,66,1168,kbytes
f0,poisson,ams,256,0.002503,66,1168,kbytes
f0,poisson,ams,256,0.002562,66,1168,kbytes
f0,poisson,ams,256,0.002571,66,1168,kbytes
f0,poisson,ams,256,0.002464,66,1168,kbytes
f0,poisson,ams,256,0.002520,66,1168,kbytes
f0,poisson,ams,256,0.002583,66,1168,kbytes
f0,poisson,ams,256,0.002568,66,1168,kbytes
f0,poisson,ams,256,0.002538,66,1168,kbytes
f0,poisson,ams,256,0.002532,66,1168,kbytes
f0,poisson,ams,256,0.002494,66,1168,kbytes
f0,poisson,ams,256,0.002544,66,1168,kbytes
f0,poisson,ams,256,0.002616,66,1168,kbytes
f0,poisson,ams,256,0.002493,66,1168,kbytes
f0,poisson,ams,256,0.002551,66,1168,kbytes
f0,poisson,ams,256,0.002565,66,1168,kbytes
f0,poisson,ams,256,0.002468,66,1168,kbytes
f0,poisson,ams,256,0.002495,66,1168,kbytes
f0,poisson,ams,256,0.002569,66,1168,kbytes
f0,poisson,ams,256,0.002532,66,1168,kbytes
f0,poisson,ams,256,0.002682,66,1168,kbytes
f0,poisson,ams,256,0.002521,66,1168,kbytes
f0,poisson,ams,256,0.002526,66,1168,kbytes
f0,poisson,ams,256,0.002550,66,1168,kbytes
f0,poisson,ams,256,0.002471,66,1168,kbytes
f0,poisson,ams,256,0.002528,66,1168,kbytes
f0,poisson,ams,256,0.002470,66,1168,kbytes
f0,poisson,ams,256,0.002502,66,1168,kbytes
f0,poisson,ams,256,0.002497,66,1168,kbytes
f0,poisson,ams,256,0.002496,66,1168,kbytes
