momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,poisson,ams,96,0.001000,100,1168,kbytes
f0,poisson,ams,96,0.000989,100,1168,kbytes
f0,poisson,ams,96,0.000991,100,1168,kbytes
f0,poisson,ams,96,0.000984,100,1168,kbytes
f0,poisson,ams,96,0.001036,100,1168,kbytes
f0,poisson,ams,96,0.000989,100,1168,kbytes
f0,poisson,ams,96,0.001005,100,1168,kbytes
f0,poisson,ams,96,0.000986,100,1168,kbytes
f0,poisson,ams,96,0.000994,100,1168,kbytes
f0,poisson,ams,96,0.001000,100,1168,kbytes
f0,poisson,ams,96,0.000990,100,1168,kbytes
f0,poisson,ams,96,0.000995,100,1168,kbytes
f0,poisson,ams,96,0.000998,100,1168,kbytes
f0,poisson,ams,96,0.001004,100,1168,kbytes
f0,poisson,ams,96,0.001000,100,1168,kbytes
f0,poisson,ams,96,0.000989,100,1168,kbytes
f0,poisson,ams,96,0.001003,100,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.000983,100,1168,kbytes
f0,poisson,ams,96,0.001004,100,1168,kbytes
f0,poisson,ams,96,0.001118,50,1168,kbytes
f0,poisson,ams,96,0.001171,50,1248,kbytes
f0,poisson,ams,96,0.001046,33,1312,kbytes
f0,poisson,ams,96,0.001009,100,1168,kbytes
f0,poisson,ams,96,0.001154,50,1248,kbytes
f0,poisson,ams,96,0.001064,50,1168,kbytes
f0,poisson,ams,96,0.001150,50,1168,kbytes
f0,poisson,ams,96,0.001121,50,1168,kbytes
f0,poisson,ams,96,0.000991,100,1168,kbytes
f0,poisson,ams,96,0.000990,50,1168,kbytes
f0,poisson,ams,96,0.001146,50,1248,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.001129,50,1168,kbytes
f0,poisson,ams,96,0.001059,100,1168,kbytes
f0,poisson,ams,96,0.001060,50,1168,kbytes
f0,poisson,ams,96,0.001019,100,1168,kbytes
f0,poisson,ams,96,0.001117,50,1168,kbytes
f0,poisson,ams,96,0.001102,50,1168,kbytes
f0,poisson,ams,96,0.001119,50,1328,kbytes
f0,poisson,ams,96,0.001005,100,1168,kbytes
f0,poisson,ams,96,0.001136,50,1168,kbytes
f0,poisson,ams,96,0.001049,50,1168,kbytes
f0,poisson,ams,96,0.001099,50,1168,kbytes
f0,poisson,ams,96,0.001101,50,1168,kbytes
f0,poisson,ams,96,0.001015,100,1168,kbytes
f0,poisson,ams,96,0.001010,50,1168,kbytes
f0,poisson,ams,96,0.001046,100,1168,kbytes
f0,poisson,ams,96,0.001109,50,1168,kbytes
f0,poisson,ams,96,0.000990,100,1168,kbytes
f0,poisson,ams,96,0.001009,100,1168,kbytes
f0,poisson,ams,96,0.001034,100,1168,kbytes
f0,poisson,ams,96,0.001037,100,1168,kbytes
f0,poisson,ams,96,0.001005,100,1168,kbytes
f0,poisson,ams,96,0.001002,100,1168,kbytes
f0,poisson,ams,96,0.000999,100,1168,kbytes
f0,poisson,ams,96,0.001046,100,1168,kbytes
f0,poisson,ams,96,0.000998,100,1168,kbytes
f0,poisson,ams,96,0.000993,100,1168,kbytes
f0,poisson,ams,96,0.001003,100,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.000993,100,1168,kbytes
f0,poisson,ams,96,0.001022,100,1168,kbytes
f0,poisson,ams,96,0.000987,100,1168,kbytes
f0,poisson,ams,96,0.000998,100,1168,kbytes
f0,poisson,ams,96,0.000997,100,1168,kbytes
f0,poisson,ams,96,0.000994,100,1168,kbytes
f0,poisson,ams,96,0.001011,100,1168,kbytes
f0,poisson,ams,96,0.001003,100,1168,kbytes
f0,poisson,ams,96,0.001002,100,1168,kbytes
f0,poisson,ams,96,0.000991,100,1168,kbytes
f0,poisson,ams,96,0.001008,100,1168,kbytes
f0,poisson,ams,96,0.000990,100,1168,kbytes
f0,poisson,ams,96,0.000993,100,1168,kbytes
f0,poisson,ams,96,0.000998,100,1168,kbytes
f0,poisson,ams,96,0.001003,100,1168,kbytes
f0,poisson,ams,96,0.001009,100,1168,kbytes
f0,poisson,ams,96,0.000996,100,1168,kbytes
f0,poisson,ams,96,0.001019,100,1168,kbytes
f0,poisson,ams,96,0.000987,100,1168,kbytes
f0,poisson,ams,96,0.001005,100,1168,kbytes
f0,poisson,ams,96,0.000990,50,1168,kbytes
f0,poisson,ams,96,0.001080,50,1168,kbytes
f0,poisson,ams,96,0.001036,50,1168,kbytes
f0,poisson,ams,96,0.001057,50,1168,kbytes
f0,poisson,ams,96,0.001013,100,1168,kbytes
f0,poisson,ams,96,0.001027,100,1168,kbytes
f0,poisson,ams,96,0.000991,100,1168,kbytes
f0,poisson,ams,96,0.001001,100,1168,kbytes
f0,poisson,ams,96,0.000987,100,1168,kbytes
f0,poisson,ams,96,0.000995,100,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.000999,100,1168,kbytes
f0,poisson,ams,96,0.000987,100,1168,kbytes
f0,poisson,ams,96,0.000987,100,1168,kbytes
f0,poisson,ams,96,0.000994,100,1168,kbytes
f0,poisson,ams,96,0.000996,100,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
f0,poisson,ams,96,0.000995,50,1168,kbytes
f0,poisson,ams,96,0.000992,100,1168,kbytes
