momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,esponenziale,ams,7,0.000076,0,1168,kbytes
f1,esponenziale,ams,7,0.000055,0,1168,kbytes
f1,esponenziale,ams,7,0.000056,0,1168,kbytes
f1,esponenziale,ams,7,0.000059,0,1168,kbytes
f1,esponenziale,ams,7,0.000058,0,1168,kbytes
f1,esponenziale,ams,7,0.000056,0,1168,kbytes
f1,esponenziale,ams,7,0.000054,0,1168,kbytes
f1,esponenziale,ams,7,0.000061,0,1168,kbytes
f1,esponenziale,ams,7,0.000058,0,1168,kbytes
f1,esponenziale,ams,7,0.000060,75,1168,kbytes
f1,esponenziale,ams,7,0.000055,0,1168,kbytes
f1,esponenziale,ams,7,0.000059,74,1168,kbytes
f1,esponenziale,ams,7,0.000055,0,1168,kbytes
f1,esponenziale,ams,7,0.000068,0,1168,kbytes
f1,esponenziale,ams,7,0.000084,0,1200,kbytes
f1,esponenziale,ams,7,0.000057,0,1168,kbytes
f1,esponenziale,ams,7,0.000130,50,1280,kbytes
f1,esponenziale,ams,7,0.000062,0,1248,kbytes
f1,esponenziale,ams,7,0.000060,0,1168,kbytes
f1,esponenziale,ams,7,0.000050,0,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000055,75,1168,kbytes
f1,esponenziale,ams,7,0.000055,0,1168,kbytes
f1,esponenziale,ams,7,0.000050,76,1168,kbytes
f1,esponenziale,ams,7,0.000047,0,1168,kbytes
f1,esponenziale,ams,7,0.000054,74,1168,kbytes
f1,esponenziale,ams,7,0.000050,73,1168,kbytes
f1,esponenziale,ams,7,0.000049,72,1168,kbytes
f1,esponenziale,ams,7,0.000054,73,1168,kbytes
f1,esponenziale,ams,7,0.000053,75,1168,kbytes
f1,esponenziale,ams,7,0.000047,73,1168,kbytes
f1,esponenziale,ams,7,0.000055,72,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000050,73,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000056,0,1168,kbytes
f1,esponenziale,ams,7,0.000060,0,1248,kbytes
f1,esponenziale,ams,7,0.000059,74,1168,kbytes
f1,esponenziale,ams,7,0.000059,72,1168,kbytes
f1,esponenziale,ams,7,0.000057,0,1456,kbytes
f1,esponenziale,ams,7,0.000055,0,1168,kbytes
f1,esponenziale,ams,7,0.000057,74,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000047,73,1168,kbytes
f1,esponenziale,ams,7,0.000049,73,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000050,0,1168,kbytes
f1,esponenziale,ams,7,0.000049,73,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000047,73,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000049,73,1168,kbytes
f1,esponenziale,ams,7,0.000053,0,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000050,0,1168,kbytes
f1,esponenziale,ams,7,0.000058,73,1168,kbytes
f1,esponenziale,ams,7,0.000059,75,1168,kbytes
f1,esponenziale,ams,7,0.000061,75,1168,kbytes
f1,esponenziale,ams,7,0.000067,75,1168,kbytes
f1,esponenziale,ams,7,0.000057,74,1168,kbytes
f1,esponenziale,ams,7,0.000058,74,1168,kbytes
f1,esponenziale,ams,7,0.000058,75,1168,kbytes
f1,esponenziale,ams,7,0.000058,73,1168,kbytes
f1,esponenziale,ams,7,0.000047,73,1168,kbytes
f1,esponenziale,ams,7,0.000047,72,1168,kbytes
f1,esponenziale,ams,7,0.000046,74,1168,kbytes
f1,esponenziale,ams,7,0.000049,73,1168,kbytes
f1,esponenziale,ams,7,0.000047,72,1168,kbytes
f1,esponenziale,ams,7,0.000057,50,1168,kbytes
f1,esponenziale,ams,7,0.000105,33,1280,kbytes
f1,esponenziale,ams,7,0.000058,0,1168,kbytes
f1,esponenziale,ams,7,0.000057,50,1168,kbytes
f1,esponenziale,ams,7,0.000056,0,1168,kbytes
f1,esponenziale,ams,7,0.000066,74,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000046,74,1168,kbytes
f1,esponenziale,ams,7,0.000048,0,1168,kbytes
f1,esponenziale,ams,7,0.000047,74,1168,kbytes
f1,esponenziale,ams,7,0.000049,73,1168,kbytes
f1,esponenziale,ams,7,0.000056,0,1168,kbytes
f1,esponenziale,ams,7,0.000053,74,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000049,0,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000048,75,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000050,74,1168,kbytes
f1,esponenziale,ams,7,0.000047,75,1168,kbytes
f1,esponenziale,ams,7,0.000046,72,1168,kbytes
f1,esponenziale,ams,7,0.000048,74,1168,kbytes
f1,esponenziale,ams,7,0.000054,78,1168,kbytes
f1,esponenziale,ams,7,0.000057,75,1168,kbytes
f1,esponenziale,ams,7,0.000059,75,1168,kbytes
f1,esponenziale,ams,7,0.000046,73,1168,kbytes
f1,esponenziale,ams,7,0.000047,74,1168,kbytes
f1,esponenziale,ams,7,0.000047,73,1168,kbytes
