momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,poisson,ams,16,0.000956,50,1168,kbytes
f1,poisson,ams,16,0.000946,100,1168,kbytes
f1,poisson,ams,16,0.001003,100,1168,kbytes
f1,poisson,ams,16,0.000926,100,1168,kbytes
f1,poisson,ams,16,0.001009,100,1248,kbytes
f1,poisson,ams,16,0.000990,100,1168,kbytes
f1,poisson,ams,16,0.000950,100,1168,kbytes
f1,poisson,ams,16,0.000889,100,1168,kbytes
f1,poisson,ams,16,0.000927,100,1168,kbytes
f1,poisson,ams,16,0.000992,100,1168,kbytes
f1,poisson,ams,16,0.000944,100,1168,kbytes
f1,poisson,ams,16,0.000922,100,1168,kbytes
f1,poisson,ams,16,0.000907,100,1168,kbytes
f1,poisson,ams,16,0.000922,100,1168,kbytes
f1,poisson,ams,16,0.000884,100,1168,kbytes
f1,poisson,ams,16,0.000891,100,1168,kbytes
f1,poisson,ams,16,0.000888,100,1168,kbytes
f1,poisson,ams,16,0.000897,100,1168,kbytes
f1,poisson,ams,16,0.000903,100,1168,kbytes
f1,poisson,ams,16,0.000904,100,1168,kbytes
f1,poisson,ams,16,0.000892,100,1168,kbytes
f1,poisson,ams,16,0.000897,100,1168,kbytes
f1,poisson,ams,16,0.000890,100,1168,kbytes
f1,poisson,ams,16,0.000912,100,1168,kbytes
f1,poisson,ams,16,0.000904,100,1168,kbytes
f1,poisson,ams,16,0.000909,100,1168,kbytes
f1,poisson,ams,16,0.000905,100,1168,kbytes
f1,poisson,ams,16,0.000892,100,1168,kbytes
f1,poisson,ams,16,0.000897,100,1168,kbytes
f1,poisson,ams,16,0.000899,100,1168,kbytes
f1,poisson,ams,16,0.000985,100,1168,kbytes
f1,poisson,ams,16,0.000939,100,1168,kbytes
f1,poisson,ams,16,0.000903,100,1168,kbytes
f1,poisson,ams,16,0.000921,100,1168,kbytes
f1,poisson,ams,16,0.000892,100,1168,kbytes
f1,poisson,ams,16,0.000883,100,1168,kbytes
f1,poisson,ams,16,0.000884,100,1168,kbytes
f1,poisson,ams,16,0.000930,100,1168,kbytes
f1,poisson,ams,16,0.000926,100,1168,kbytes
f1,poisson,ams,16,0.001014,50,1168,kbytes
f1,poisson,ams,16,0.000942,50,1296,kbytes
f1,poisson,ams,16,0.000998,100,1168,kbytes
f1,poisson,ams,16,0.000890,100,1168,kbytes
f1,poisson,ams,16,0.000950,100,1168,kbytes
f1,poisson,ams,16,0.000942,100,1168,kbytes
f1,poisson,ams,16,0.000950,100,1168,kbytes
f1,poisson,ams,16,0.000999,100,1168,kbytes
f1,poisson,ams,16,0.000937,100,1168,kbytes
f1,poisson,ams,16,0.000971,100,1168,kbytes
f1,poisson,ams,16,0.000970,100,1168,kbytes
f1,poisson,ams,16,0.000957,100,1168,kbytes
f1,poisson,ams,16,0.000883,100,1168,kbytes
f1,poisson,ams,16,0.000992,100,1168,kbytes
f1,poisson,ams,16,0.000898,100,1168,kbytes
f1,poisson,ams,16,0.000892,100,1168,kbytes
f1,poisson,ams,16,0.000995,100,1168,kbytes
f1,poisson,ams,16,0.001038,100,1168,kbytes
f1,poisson,ams,16,0.001003,50,1168,kbytes
f1,poisson,ams,16,0.001002,50,1168,kbytes
f1,poisson,ams,16,0.000927,50,1168,kbytes
f1,poisson,ams,16,0.000984,50,1168,kbytes
f1,poisson,ams,16,0.001152,50,1184,kbytes
f1,poisson,ams,16,0.000978,100,1168,kbytes
f1,poisson,ams,16,0.000909,100,1168,kbytes
f1,poisson,ams,16,0.000934,100,1168,kbytes
f1,poisson,ams,16,0.000939,50,1168,kbytes
f1,poisson,ams,16,0.000951,100,1168,kbytes
f1,poisson,ams,16,0.000954,50,1248,kbytes
f1,poisson,ams,16,0.000962,100,1168,kbytes
f1,poisson,ams,16,0.000974,100,1168,kbytes
f1,poisson,ams,16,0.000927,100,1168,kbytes
f1,poisson,ams,16,0.000901,100,1168,kbytes
f1,poisson,ams,16,0.000910,100,1168,kbytes
f1,poisson,ams,16,0.001079,50,1248,kbytes
f1,poisson,ams,16,0.000934,100,1168,kbytes
f1,poisson,ams,16,0.000981,100,1168,kbytes
f1,poisson,ams,16,0.000983,100,1168,kbytes
f1,poisson,ams,16,0.000967,100,1168,kbytes
f1,poisson,ams,16,0.000957,100,1168,kbytes
f1,poisson,ams,16,0.000975,100,1168,kbytes
f1,poisson,ams,16,0.000965,100,1168,kbytes
f1,poisson,ams,16,0.000976,50,1168,kbytes
f1,poisson,ams,16,0.000996,100,1168,kbytes
f1,poisson,ams,16,0.000966,100,1168,kbytes
f1,poisson,ams,16,0.000887,100,1168,kbytes
f1,poisson,ams,16,0.000929,100,1168,kbytes
f1,poisson,ams,16,0.000886,100,1168,kbytes
f1,poisson,ams,16,0.000881,100,1168,kbytes
f1,poisson,ams,16,0.000962,50,1168,kbytes
f1,poisson,ams,16,0.000881,100,1168,kbytes
f1,poisson,ams,16,0.000950,100,1168,kbytes
f1,poisson,ams,16,0.000889,100,1168,kbytes
f1,poisson,ams,16,0.000888,100,1168,kbytes
f1,poisson,ams,16,0.000882,100,1168,kbytes
f1,poisson,ams,16,0.000890,100,1168,kbytes
f1,poisson,ams,16,0.000932,100,1168,kbytes
f1,poisson,ams,16,0.001010,50,1168,kbytes
f1,poisson,ams,16,0.000894,100,1168,kbytes
f1,poisson,ams,16,0.000982,100,1168,kbytes
f1,poisson,ams,16,0.000895,100,1168,kbytes
