momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f1,uniforme,ams,16,0.001092,50,1248,kbytes
f1,uniforme,ams,16,0.001011,100,1168,kbytes
f1,uniforme,ams,16,0.001039,100,1168,kbytes
f1,uniforme,ams,16,0.000997,100,1168,kbytes
f1,uniforme,ams,16,0.001086,100,1168,kbytes
f1,uniforme,ams,16,0.001010,100,1168,kbytes
f1,uniforme,ams,16,0.001035,100,1168,kbytes
f1,uniforme,ams,16,0.000995,100,1168,kbytes
f1,uniforme,ams,16,0.001043,100,1168,kbytes
f1,uniforme,ams,16,0.001021,100,1168,kbytes
f1,uniforme,ams,16,0.001028,100,1168,kbytes
f1,uniforme,ams,16,0.000993,100,1168,kbytes
f1,uniforme,ams,16,0.001003,100,1168,kbytes
f1,uniforme,ams,16,0.000996,100,1168,kbytes
f1,uniforme,ams,16,0.001015,100,1168,kbytes
f1,uniforme,ams,16,0.001050,100,1168,kbytes
f1,uniforme,ams,16,0.000990,100,1168,kbytes
f1,uniforme,ams,16,0.001022,100,1168,kbytes
f1,uniforme,ams,16,0.001090,50,1168,kbytes
f1,uniforme,ams,16,0.001122,50,1168,kbytes
f1,uniforme,ams,16,0.001034,100,1168,kbytes
f1,uniforme,ams,16,0.001059,50,1168,kbytes
f1,uniforme,ams,16,0.001068,100,1168,kbytes
f1,uniforme,ams,16,0.001042,100,1168,kbytes
f1,uniforme,ams,16,0.001041,100,1168,kbytes
f1,uniforme,ams,16,0.001096,100,1168,kbytes
f1,uniforme,ams,16,0.001076,100,1168,kbytes
f1,uniforme,ams,16,0.001017,100,1168,kbytes
f1,uniforme,ams,16,0.001030,100,1168,kbytes
f1,uniforme,ams,16,0.001029,100,1168,kbytes
f1,uniforme,ams,16,0.001017,100,1168,kbytes
f1,uniforme,ams,16,0.001036,100,1168,kbytes
f1,uniforme,ams,16,0.001024,100,1168,kbytes
f1,uniforme,ams,16,0.001050,100,1168,kbytes
f1,uniforme,ams,16,0.001034,100,1168,kbytes
f1,uniforme,ams,16,0.001135,50,1168,kbytes
f1,uniforme,ams,16,0.001088,50,1168,kbytes
f1,uniforme,ams,16,0.000996,100,1168,kbytes
f1,uniforme,ams,16,0.001028,100,1168,kbytes
f1,uniforme,ams,16,0.001002,100,1168,kbytes
f1,uniforme,ams,16,0.001052,100,1168,kbytes
f1,uniforme,ams,16,0.001027,100,1168,kbytes
f1,uniforme,ams,16,0.001083,50,1248,kbytes
f1,uniforme,ams,16,0.001020,100,1168,kbytes
f1,uniforme,ams,16,0.000999,100,1168,kbytes
f1,uniforme,ams,16,0.001013,100,1168,kbytes
f1,uniforme,ams,16,0.001005,100,1168,kbytes
f1,uniforme,ams,16,0.001001,100,1168,kbytes
f1,uniforme,ams,16,0.001007,100,1168,kbytes
f1,uniforme,ams,16,0.001060,100,1168,kbytes
f1,uniforme,ams,16,0.001060,100,1168,kbytes
f1,uniforme,ams,16,0.001019,100,1168,kbytes
f1,uniforme,ams,16,0.001020,100,1168,kbytes
f1,uniforme,ams,16,0.001113,50,1168,kbytes
f1,uniforme,ams,16,0.001003,100,1168,kbytes
f1,uniforme,ams,16,0.000998,100,1168,kbytes
f1,uniforme,ams,16,0.001107,100,1168,kbytes
