momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
f0,poisson,naive,67,0.001621,50,1280,kbytes
f0,poisson,naive,67,0.001490,50,1280,kbytes
f0,poisson,naive,67,0.001490,50,1280,kbytes
f0,poisson,naive,67,0.001762,50,1280,kbytes
f0,poisson,naive,67,0.001532,50,1280,kbytes
f0,poisson,naive,67,0.001498,50,1280,kbytes
f0,poisson,naive,67,0.001522,50,1280,kbytes
f0,poisson,naive,67,0.001528,50,1280,kbytes
f0,poisson,naive,67,0.001812,50,1280,kbytes
f0,poisson,naive,67,0.001620,50,1280,kbytes
f0,poisson,naive,67,0.001534,50,1280,kbytes
f0,poisson,naive,67,0.001568,50,1280,kbytes
f0,poisson,naive,67,0.001522,50,1280,kbytes
f0,poisson,naive,67,0.001487,50,1280,kbytes
f0,poisson,naive,67,0.001500,50,1280,kbytes
f0,poisson,naive,67,0.001827,100,1280,kbytes
f0,poisson,naive,67,0.001589,50,1280,kbytes
f0,poisson,naive,67,0.001662,50,1392,kbytes
f0,poisson,naive,67,0.001577,50,1280,kbytes
f0,poisson,naive,67,0.001576,50,1280,kbytes
f0,poisson,naive,67,0.001531,50,1280,kbytes
f0,poisson,naive,67,0.001807,50,1280,kbytes
f0,poisson,naive,67,0.001541,50,1280,kbytes
f0,poisson,naive,67,0.001530,50,1280,kbytes
f0,poisson,naive,67,0.001539,50,1280,kbytes
f0,poisson,naive,67,0.001552,50,1280,kbytes
f0,poisson,naive,67,0.001553,50,1280,kbytes
f0,poisson,naive,67,0.001498,50,1280,kbytes
f0,poisson,naive,67,0.001487,50,1280,kbytes
f0,poisson,naive,67,0.001488,50,1280,kbytes
f0,poisson,naive,67,0.001569,50,1280,kbytes
f0,poisson,naive,67,0.001499,50,1280,kbytes
f0,poisson,naive,67,0.001506,50,1280,kbytes
f0,poisson,naive,67,0.001572,50,1280,kbytes
f0,poisson,naive,67,0.001636,50,1280,kbytes
f0,poisson,naive,67,0.001548,50,1280,kbytes
f0,poisson,naive,67,0.001507,50,1280,kbytes
f0,poisson,naive,67,0.001526,50,1280,kbytes
f0,poisson,naive,67,0.001531,50,1280,kbytes
f0,poisson,naive,67,0.001560,50,1280,kbytes
f0,poisson,naive,67,0.001512,50,1280,kbytes
f0,poisson,naive,67,0.001807,50,1280,kbytes
f0,poisson,naive,67,0.001576,50,1280,kbytes
f0,poisson,naive,67,0.001629,50,1280,kbytes
f0,poisson,naive,67,0.001575,50,1280,kbytes
f0,poisson,naive,67,0.001531,50,1280,kbytes
f0,poisson,naive,67,0.001789,50,1280,kbytes
f0,poisson,naive,67,0.001553,50,1280,kbytes
f0,poisson,naive,67,0.001500,50,1280,kbytes
f0,poisson,naive,67,0.001538,50,1280,kbytes
f0,poisson,naive,67,0.001505,50,1280,kbytes
f0,poisson,naive,67,0.001618,50,1280,kbytes
f0,poisson,naive,67,0.001561,50,1280,kbytes
f0,poisson,naive,67,0.001507,50,1280,kbytes
f0,poisson,naive,67,0.001504,50,1280,kbytes
f0,poisson,naive,67,0.001565,50,1280,kbytes
f0,poisson,naive,67,0.001503,50,1280,kbytes
f0,poisson,naive,67,0.001683,50,1280,kbytes
f0,poisson,naive,67,0.001683,33,1280,kbytes
f0,poisson,naive,67,0.001506,50,1280,kbytes
f0,poisson,naive,67,0.001811,50,1392,kbytes
f0,poisson,naive,67,0.001531,50,1280,kbytes
f0,poisson,naive,67,0.001513,50,1280,kbytes
f0,poisson,naive,67,0.001774,50,1280,kbytes
f0,poisson,naive,67,0.001696,50,1280,kbytes
f0,poisson,naive,67,0.001537,50,1280,kbytes
f0,poisson,naive,67,0.001574,50,1280,kbytes
f0,poisson,naive,67,0.001507,50,1280,kbytes
f0,poisson,naive,67,0.001525,50,1280,kbytes
f0,poisson,naive,67,0.001511,50,1280,kbytes
f0,poisson,naive,67,0.001626,50,1280,kbytes
f0,poisson,naive,67,0.001505,50,1280,kbytes
f0,poisson,naive,67,0.001777,50,1280,kbytes
f0,poisson,naive,67,0.001789,50,1280,kbytes
f0,poisson,naive,67,0.001487,50,1280,kbytes
f0,poisson,naive,67,0.001500,50,1280,kbytes
f0,poisson,naive,67,0.001522,50,1280,kbytes
f0,poisson,naive,67,0.001492,50,1280,kbytes
f0,poisson,naive,67,0.001770,50,1280,kbytes
f0,poisson,naive,67,0.001573,50,1280,kbytes
f0,poisson,naive,67,0.001490,50,1280,kbytes
f0,poisson,naive,67,0.001575,50,1280,kbytes
f0,poisson,naive,67,0.001555,50,1280,kbytes
f0,poisson,naive,67,0.001486,50,1280,kbytes
f0,poisson,naive,67,0.001784,50,1392,kbytes
f0,poisson,naive,67,0.001521,50,1280,kbytes
f0,poisson,naive,67,0.001605,50,1280,kbytes
f0,poisson,naive,67,0.001497,50,1280,kbytes
f0,poisson,naive,67,0.001536,50,1280,kbytes
f0,poisson,naive,67,0.001552,50,1280,kbytes
f0,poisson,naive,67,0.001505,50,1280,kbytes
f0,poisson,naive,67,0.001535,50,1280,kbytes
f0,poisson,naive,67,0.001659,50,1280,kbytes
f0,poisson,naive,67,0.001591,50,1280,kbytes
f0,poisson,naive,67,0.001647,50,1280,kbytes
f0,poisson,naive,67,0.001541,50,1280,kbytes
f0,poisson,naive,67,0.001538,50,1280,kbytes
f0,poisson,naive,67,0.001503,50,1280,kbytes
f0,poisson,naive,67,0.001528,50,1280,kbytes
f0,poisson,naive,67,0.001532,50,1280,kbytes
